报告期,业绩披露日期,送转股份-送转总比例,送转股份-送股比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-现金分红比例描述,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
1999-12-31,2000-06-28,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.80元)",0.009643201543,0.34,3.14,1.596356214982,0.411231655474,16.193118139134,285000000,,2000-07-03,2000-07-04,实施分配,2000-06-28
2000-12-31,2001-05-18,0.0,0.0,0.0,2.0,"10派2.00元(含税,扣税后1.60元)",0.015278838808,0.37,3.73,2.094354367021,0.446885950853,6.724394197516,310500000,,2001-05-24,2001-05-25,实施分配,2001-05-18
2001-12-31,2002-05-22,0.0,0.0,0.0,2.0,"10派2.00元(含税,扣税后1.60元)",0.020387359837,0.36,3.88,2.094354367021,0.531144158454,5.504744837715,310500000,,2002-05-28,2002-05-29,实施分配,2002-05-22
2002-12-31,2003-06-27,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.40元)",0.037313432836,0.34,3.95,2.094354367021,0.523000889436,-12.462486456125,310500000,,2003-07-02,2003-07-03,实施分配,2003-06-27
2003-12-31,2004-02-25,0.0,0.0,0.0,2.0,"10派2.00元(含税,扣税后1.60元)",0.031007751938,0.32,4.27,2.094370258196,0.796926967794,-3.74878970436,310500000,,2004-06-17,2004-06-18,实施分配,2004-06-14
2004-12-31,2005-03-25,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.40元)",0.065502183406,0.32,4.39,2.094775869018,0.860806587729,-0.45117620966,310500000,,2005-06-02,2005-06-03,实施分配,2005-05-27
2005-12-31,2006-03-28,0.0,0.0,0.0,3.0,"10派3.00元(含税,扣税后2.70元)",0.065934065934,0.25,4.33,2.075819148374,0.768126053655,-22.813708819161,310500000,,2006-06-12,2006-06-13,实施分配,2006-06-07
2007-12-31,2008-03-28,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.0125,0.16,4.17,2.076617487021,0.622757948921,-19.780193650948,310500000,2008-03-28,2008-06-30,2008-07-01,实施分配,2008-06-25
2008-12-31,2009-04-25,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.010810810811,0.14,4.22,2.097647694557,0.618176631369,-10.701472286562,310500000,2009-04-25,2009-08-10,2009-08-11,实施分配,2009-08-04
2009-12-31,2010-04-02,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.012019230769,0.04,4.11,2.067730630048,0.547761807085,-73.048125787324,310500000,2010-04-02,2010-06-17,2010-06-18,实施分配,2010-06-08
2010-12-31,2011-04-15,0.0,0.0,0.0,1.0,"10派1.00元(含税,扣税后0.90元)",0.009337068161,0.17,4.18,2.067730630048,0.590513006119,351.555655974807,310500000,2011-04-15,2011-07-21,2011-07-22,实施分配,2011-07-16
2011-12-31,2012-04-19,0.0,0.0,0.0,2.0,"10派2.00元(含税,扣税后1.80元)",0.03164556962,0.25,4.33,2.072276426377,0.715012924219,45.553444893271,310500000,2012-04-19,2012-07-11,2012-07-12,实施分配,2012-07-06
2012-12-31,2013-04-27,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.013908205841,0.13,4.25637517694,2.072276426377,0.627161414332,-48.527592664968,310500000,2013-04-27,2013-07-16,2013-07-17,实施分配,2013-07-11
2013-12-31,2014-04-22,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.014064697609,0.13,4.295776968406,2.079139188889,0.654379086924,4.984934938137,310500000,2014-04-22,2014-07-02,2014-07-03,实施分配,2014-06-25
2014-12-31,2015-04-23,,,,1.0,"10派1.00元(含税,扣税后0.90元)",0.010152284264,0.03,4.228807045507,2.07933429401,0.582114517842,-74.226187270991,310500000,2015-04-23,2015-07-08,2015-07-09,实施分配,2015-07-02
2015-12-31,2016-04-30,,,,0.5,"10派0.50元(含税,扣税后0.45元)",0.004132231405,0.14,4.275668172367,2.082554905926,0.591548585185,321.488872413073,310500000,2016-04-30,2016-07-15,2016-07-18,实施分配,2016-07-08
2017-12-31,2018-04-28,3.0,,3.0,0.2,"10转3.00派0.20元(含税,扣税后0.18元)",0.003300330033,0.03,5.124682136793,3.261444365377,0.478894910176,-76.138511770584,551442213,2018-04-28,2018-07-13,2018-07-16,实施分配,2018-07-10
