stock_code,eps,report_year
600973,0.242,2013
600169,0.0105,2013
300237,0.31,2013
400272,0.3,2013
600624,-0.012,2013
600287,0.6244,2013
836733,-0.07,2013
832010,0.06,2013
002412,0.3744,2013
000839,-0.0914,2013
836665,3.64,2013
002052,0.05,2013
920186,0.25,2013
300189,0.1501,2013
300807,1.79,2013
400295,0.07,2013
688981,0.01,2013
600391,0.1,2013
000519,0.62,2013
300838,0.65,2013
600399,0.04,2013
000886,0.134,2013
420073,0.041,2013
400073,0.041,2013
300169,-0.29,2013
002715,0.37,2013
920768,0.142,2013
301418,0.0,2013
920344,0.06,2013
688096,0.09,2013
200012,0.74,2013
000012,0.74,2013
300235,0.14,2013
920370,0.39,2013
430653,-0.01,2013
000612,0.413,2013
300795,1.54,2013
430583,0.16,2013
835223,-0.01,2013
000922,0.02,2013
920198,0.43,2013
000691,0.0081,2013
688800,0.15,2013
920112,0.26,2013
301263,0.71,2013
300943,0.27,2013
300960,0.67,2013
003010,-3.1,2013
920037,0.32,2013
600165,0.028,2013
920682,0.15,2013
300981,0.06,2013
301246,0.4,2013
605088,0.42,2013
300839,0.19,2013
831063,0.37,2013
430229,1.59,2013
920964,0.14,2013
831428,0.28,2013
603693,0.05,2013
300845,0.51,2013
831934,0.04,2013
688026,0.45,2013
003003,0.07,2013
603583,0.39,2013
300935,0.34,2013
430432,0.61,2013
831406,0.13,2013
300962,0.16,2013
000928,-0.048,2013
000498,0.2332,2013
601990,0.14,2013
300631,1.4239,2013
300629,0.56,2013
002857,0.46,2013
603656,1.04,2013
300773,-0.54,2013
300737,0.15,2013
603517,0.54,2013
300623,0.95,2013
688229,0.9,2013
603178,0.3,2013
603949,0.52,2013
603486,4.82,2013
603955,0.8751,2013
002928,1.24,2013
603238,0.44,2013
300615,0.87,2013
300612,0.28,2013
300611,0.54,2013
830891,0.128,2013
603345,0.64,2013
603330,0.73,2013
400210,0.33,2013
603180,0.59,2013
603078,0.44,2013
300608,0.9,2013
002875,0.75,2013
603040,0.82,2013
300607,0.66,2013
300695,1.04,2013
300635,0.76,2013
300609,0.35,2013
603615,0.561,2013
300610,0.47,2013
603839,1.18,2013
603677,1.26,2013
603208,0.86,2013
002848,0.4605,2013
603920,0.41,2013
603787,0.48,2013
603385,0.45,2013
603379,0.36,2013
603361,0.36,2013
400219,0.64,2013
300733,0.35,2013
300732,2.54,2013
300721,-0.0724,2013
300634,0.49,2013
002774,0.3425,2013
603637,0.59,2013
300601,0.004,2013
300578,0.69,2013
600939,0.22,2013
603429,0.6916,2013
603177,1.57,2013
300606,0.47,2013
002847,0.81,2013
002846,0.46,2013
603881,0.2,2013
603360,0.49,2013
300603,0.48,2013
300602,0.67,2013
300598,0.5,2013
603109,0.3863,2013
603089,0.75,2013
603059,0.45,2013
600928,0.5435,2013
300829,0.3,2013
300600,0.56,2013
002989,0.63,2013
002916,0.8,2013
603358,1.62,2013
300627,-0.4,2013
002845,1.54,2013
603966,0.51,2013
300705,0.49,2013
300597,0.27,2013
300595,0.4863,2013
300599,0.42,2013
688106,0.2,2013
603682,0.43,2013
603638,0.3912,2013
603590,0.99,2013
603156,3.1962,2013
603038,1.36,2013
300718,1.03,2013
002864,0.51,2013
002860,0.64,2013
603337,1.1,2013
603039,0.72,2013
002843,0.52,2013
002841,0.45,2013
603991,0.54,2013
603630,0.73,2013
601858,0.3,2013
300596,0.44,2013
300584,0.55,2013
874863,0.58,2013
603803,0.38,2013
603668,0.31,2013
603580,0.4589,2013
603579,0.52,2013
603139,0.77,2013
300639,0.49,2013
300628,1.79,2013
