stock_code,report_date,eps_cum,notice_date
000001,2015-03-31,0.41,2016-04-21
000001,2015-06-30,0.7,2016-08-12
000001,2015-09-30,1.06,2016-10-21
000001,2015-12-31,1.3,2017-03-17
000001,2016-03-31,0.35,2017-04-22
000001,2016-06-30,0.72,2017-08-11
000001,2016-09-30,1.09,2017-10-21
000001,2016-12-31,1.32,2018-03-15
000001,2017-03-31,0.31,2018-04-20
000001,2017-06-30,0.68,2018-08-16
000001,2017-09-30,1.06,2018-10-24
000001,2017-12-31,1.3,2019-03-07
000001,2018-03-31,0.33,2019-04-24
000001,2018-06-30,0.73,2019-08-08
000001,2018-09-30,1.14,2019-10-22
000001,2018-12-31,1.39,2020-02-14
000001,2019-03-31,0.38,2020-04-21
000001,2019-06-30,0.85,2020-08-28
000001,2019-09-30,1.32,2020-10-22
000001,2019-12-31,1.54,2021-02-02
000001,2020-03-31,0.4,2021-04-21
000001,2020-06-30,0.66,2021-08-20
000001,2020-09-30,1.11,2021-10-21
000001,2020-12-31,1.4,2022-03-10
000001,2021-03-31,0.42,2022-04-27
000001,2021-06-30,0.8,2022-08-18
000001,2021-09-30,1.4,2022-10-25
000001,2021-12-31,1.73,2023-03-09
000001,2022-03-31,0.56,2023-04-25
000001,2022-06-30,1.03,2023-08-24
000001,2022-09-30,1.78,2023-10-25
000001,2022-12-31,2.2,2024-03-15
000001,2023-03-31,0.65,2024-04-20
000001,2023-06-30,1.2,2024-08-16
000001,2023-09-30,1.94,2024-10-19
000001,2023-12-31,2.25,2025-03-15
000001,2024-03-31,0.66,2025-04-19
000001,2024-06-30,1.23,2025-08-23
000001,2024-09-30,1.94,2025-10-25
000001,2024-12-31,2.15,2026-03-21
000001,2025-03-31,0.62,2026-04-25
000001,2025-06-30,1.18,2026-08-15
000001,2025-09-30,1.87,2025-10-25
000001,2025-12-31,2.07,2026-03-21
000001,2026-03-31,0.67,2026-04-25
000001,2026-06-30,1.24,2026-08-15
000002,2015-03-31,0.059,2016-04-28
000002,2015-06-30,0.44,2016-08-22
000002,2015-09-30,0.62,2016-10-28
000002,2015-12-31,1.64,2017-03-27
000002,2016-03-31,0.075,2017-04-28
000002,2016-06-30,0.48,2017-08-25
000002,2016-09-30,0.748,2017-10-27
000002,2016-12-31,1.9,2018-03-27
000002,2017-03-31,0.063,2018-04-26
000002,2017-06-30,0.66,2018-08-21
000002,2017-09-30,1.005,2018-10-26
000002,2017-12-31,2.54,2019-03-26
000002,2018-03-31,0.081,2019-04-30
000002,2018-06-30,0.83,2019-08-21
000002,2018-09-30,1.267,2019-10-25
000002,2018-12-31,3.06,2020-03-18
000002,2019-03-31,0.102,2020-04-28
000002,2019-06-30,1.06,2020-08-28
000002,2019-09-30,1.631,2020-10-30
000002,2019-12-31,3.47,2021-03-31
000002,2020-03-31,0.1105,2021-04-23
000002,2020-06-30,1.11,2021-08-30
000002,2020-09-30,1.741,2021-10-29
000002,2020-12-31,3.62,2022-03-31
000002,2021-03-31,0.1112,2022-04-29
000002,2021-06-30,0.95,2022-08-31
000002,2021-09-30,1.4364,2022-10-29
000002,2021-12-31,1.94,2023-03-31
000002,2022-03-31,0.1229,2023-04-29
000002,2022-06-30,1.05,2023-08-31
000002,2022-09-30,1.4734,2023-10-28
000002,2022-12-31,1.96,2024-03-29
000002,2023-03-31,0.1251,2024-04-30
000002,2023-06-30,0.84,2024-08-31
000002,2023-09-30,1.1585,2024-10-31
000002,2023-12-31,1.03,2025-04-01
000002,2024-03-31,-0.0305,2025-04-30
000002,2024-06-30,-0.83,2025-08-23
000002,2024-09-30,-1.5132,2025-10-31
000002,2024-12-31,-4.17,2026-04-01
000002,2025-03-31,-0.53,2026-04-30
000002,2025-06-30,-1.01,2026-08-28
000002,2025-09-30,-2.3578,2025-10-31
000002,2025-12-31,-7.45,2026-04-01
000002,2026-03-31,-0.5,2026-04-30
000002,2026-06-30,-1.25,2026-08-28
000008,2015-03-31,0.0766,2016-04-30
000008,2015-06-30,0.09,2016-08-25
000008,2015-09-30,0.04,2016-10-26
000008,2015-12-31,0.078,2017-04-01
000008,2016-03-31,0.0029,2017-04-27
000008,2016-06-30,0.0149,2017-08-30
000008,2016-09-30,0.0367,2017-10-31
000008,2016-12-31,0.192,2018-04-26
000008,2017-03-31,0.0027,2018-04-28
000008,2017-06-30,0.0198,2018-08-25
000008,2017-09-30,0.0434,2018-10-20
000008,2017-12-31,0.311,2019-04-25
000008,2018-03-31,0.0037,2019-04-27
000008,2018-06-30,0.0218,2019-08-29
000008,2018-09-30,0.0439,2019-10-22
000008,2018-12-31,0.116,2020-04-24
000008,2019-03-31,0.0042,2020-04-30
000008,2019-06-30,0.0238,2020-08-29
000008,2019-09-30,0.0543,2020-10-31
000008,2019-12-31,0.16,2021-04-20
000008,2020-03-31,-0.0425,2021-04-27
000008,2020-06-30,-0.1147,2021-08-28
000008,2020-09-30,-0.089,2021-10-29
000008,2020-12-31,-0.33,2022-04-29
000008,2021-03-31,-0.0317,2022-04-30
000008,2021-06-30,-0.0548,2022-08-31
000008,2021-09-30,-0.036,2022-10-29
000008,2021-12-31,-0.55,2023-04-22
000008,2022-03-31,-0.0189,2023-04-28
000008,2022-06-30,-0.031,2023-08-26
000008,2022-09-30,-0.0645,2023-10-28
000008,2022-12-31,-0.31,2024-04-16
000008,2023-03-31,-0.0121,2024-04-30
000008,2023-06-30,-0.0308,2024-08-30
000008,2023-09-30,-0.0534,2024-10-31
000008,2023-12-31,-0.31,2025-04-19
000008,2024-03-31,-0.0179,2025-04-29
000008,2024-06-30,-0.0643,2025-08-27
000008,2024-09-30,-0.0662,2025-10-27
000008,2024-12-31,-0.2007,2026-04-18
000008,2025-03-31,-0.0157,2026-04-30
000008,2025-06-30,-0.035,2026-08-29
000008,2025-09-30,-0.0321,2025-10-27
000008,2025-12-31,-0.3075,2026-04-18
000008,2026-03-31,-0.0112,2026-04-30
000008,2026-06-30,-0.0197,2026-08-29
000009,2015-03-31,0.03,2016-04-29
000009,2015-06-30,0.074,2016-08-30
000009,2015-09-30,0.258,2016-10-28
000009,2015-12-31,0.35,2017-04-27
000009,2016-03-31,0.014,2017-04-27
000009,2016-06-30,0.0337,2017-08-30
000009,2016-09-30,0.098,2017-10-28
000009,2016-12-31,0.11,2020-04-29
000009,2017-03-31,0.0156,2018-04-28
000009,2017-06-30,0.0373,2018-08-30
000009,2017-09-30,0.084,2018-10-30
000009,2017-12-31,0.06,2020-04-29
000009,2018-03-31,0.02,2019-04-30
000009,2018-06-30,0.0535,2019-08-31
000009,2018-09-30,0.0382,2019-10-26
000009,2018-12-31,0.1,2020-04-29
000009,2019-03-31,0.0256,2020-04-29
000009,2019-06-30,0.0535,2020-08-28
000009,2019-09-30,0.0778,2020-10-29
000009,2019-12-31,0.12,2021-04-30
000009,2020-03-31,0.0156,2021-04-24
000009,2020-06-30,0.0525,2021-08-25
000009,2020-09-30,0.2022,2021-10-26
000009,2020-12-31,0.26,2022-03-31
000009,2021-03-31,0.0738,2022-04-28
000009,2021-06-30,0.2638,2022-08-23
000009,2021-09-30,0.3461,2022-10-27
000009,2021-12-31,0.4,2023-04-15
000009,2022-03-31,0.064,2023-04-29
000009,2022-06-30,0.1641,2023-08-29
000009,2022-09-30,0.2231,2023-10-31
000009,2022-12-31,0.45,2024-04-16
000009,2023-03-31,0.0928,2024-04-30
000009,2023-06-30,0.1906,2024-08-30
000009,2023-09-30,0.2631,2024-10-31
000009,2023-12-31,0.2933,2025-04-16
000009,2024-03-31,0.0274,2025-04-30
000009,2024-06-30,0.0759,2025-08-29
