date,symbol,open,high,low,close,settle,pre_settle,volume,open_interest
20150105,IF1501,3619.0,3768.8,3585.2,3671.4,3718.6,3579.8,1303810,138633.0
20150105,IF1502,3645.0,3817.6,3636.0,3726.8,3766.0,3622.8,31115,10631.0
20150105,IF1503,3681.0,3860.2,3677.4,3766.0,3807.8,3656.2,117300,60335.0
20150105,IF1506,3710.0,3902.0,3708.0,3801.8,3845.6,3685.2,48418,27622.0
20150106,IF1501,3664.0,3707.8,3610.0,3656.8,3659.4,3718.6,1522728,127237.0
20150106,IF1502,3720.0,3761.2,3668.6,3712.4,3715.6,3766.0,37125,14649.0
20150106,IF1503,3755.0,3808.0,3715.6,3757.6,3760.2,3807.8,128845,65110.0
20150106,IF1506,3788.0,3846.6,3755.0,3796.0,3798.0,3845.6,49001,29058.0
20150107,IF1501,3655.8,3684.2,3615.4,3663.2,3654.8,3659.4,1294935,114534.0
20150107,IF1502,3716.0,3734.6,3672.8,3719.6,3707.0,3715.6,34438,18574.0
20150107,IF1503,3761.2,3776.6,3713.6,3765.8,3749.4,3760.2,108054,67771.0
20150107,IF1506,3797.0,3813.2,3748.0,3799.4,3782.0,3798.0,37579,30712.0
20150108,IF1501,3676.6,3679.6,3553.0,3562.0,3588.2,3654.8,1565105,105242.0
20150108,IF1502,3730.4,3736.4,3610.0,3611.6,3641.8,3707.0,52299,24006.0
20150108,IF1503,3775.8,3781.0,3654.0,3657.0,3686.6,3749.4,141024,68616.0
20150108,IF1506,3796.0,3815.0,3690.0,3690.4,3721.2,3782.0,49038,31915.0
20150109,IF1501,3570.0,3718.0,3511.0,3528.0,3596.2,3588.2,1713171,88364.0
20150109,IF1502,3615.0,3767.0,3560.4,3573.0,3643.6,3641.8,94802,30153.0
20150109,IF1503,3662.0,3803.0,3600.0,3613.0,3682.2,3686.6,169332,62488.0
20150109,IF1506,3694.2,3845.6,3643.4,3658.0,3719.4,3721.2,61220,32763.0
20150112,IF1501,3567.0,3575.0,3463.6,3537.6,3533.8,3596.2,1268691,81457.0
20150112,IF1502,3602.0,3612.2,3500.4,3576.0,3569.4,3643.6,89992,35391.0
20150112,IF1503,3632.0,3650.0,3533.4,3617.0,3605.8,3682.2,139924,62207.0
20150112,IF1506,3663.0,3693.0,3582.0,3666.0,3656.2,3719.4,41376,33793.0
20150113,IF1501,3535.8,3568.8,3501.2,3529.6,3517.4,3533.8,1104965,77162.0
20150113,IF1502,3587.6,3608.2,3550.8,3577.4,3565.4,3569.4,113451,46733.0
20150113,IF1503,3619.8,3642.8,3586.4,3612.4,3600.4,3605.8,100512,63864.0
20150113,IF1506,3658.8,3690.8,3635.6,3660.8,3650.0,3656.2,30360,34380.0
20150114,IF1501,3536.0,3563.4,3471.6,3504.2,3497.8,3517.4,1026731,63228.0
20150114,IF1502,3581.6,3606.0,3522.2,3559.0,3548.0,3565.4,207560,64504.0
20150114,IF1503,3613.4,3647.0,3555.0,3594.6,3582.4,3600.4,118686,63966.0
20150114,IF1506,3660.0,3691.0,3605.8,3640.4,3629.6,3650.0,29221,35716.0
20150115,IF1501,3509.0,3627.6,3483.0,3625.0,3594.2,3497.8,748861,21979.0
20150115,IF1502,3548.6,3686.4,3534.2,3683.6,3650.2,3548.0,808954,101476.0
20150115,IF1503,3599.2,3741.0,3574.0,3736.2,3691.8,3582.4,164683,65953.0
20150115,IF1506,3641.0,3788.0,3622.2,3787.6,3744.0,3629.6,43850,37266.0
20150116,IF1501,3600.0,3653.4,3600.0,3641.2,3641.34,3594.2,131799,0.0
20150116,IF1502,3686.8,3714.0,3661.8,3667.2,3684.6,3650.2,1188668,114442.0
20150116,IF1503,3738.8,3758.4,3708.0,3715.8,3732.8,3691.8,149412,66778.0
20150116,IF1506,3790.0,3814.4,3765.4,3770.0,3788.4,3744.0,41617,39903.0
20150119,IF1502,3519.8,3519.8,3316.2,3316.2,3321.8,3684.6,1063324,117624.0
20150119,IF1503,3617.0,3617.0,3359.6,3359.6,3363.4,3732.8,167020,64865.0
20150119,IF1506,3649.0,3649.0,3409.6,3409.6,3411.0,3788.4,52811,38748.0
20150119,IF1509,3717.8,3717.8,3310.0,3345.0,3336.4,3788.4,14311,4687.0
20150120,IF1502,3303.0,3448.8,3300.0,3394.4,3404.4,3321.8,1734080,105907.0
20150120,IF1503,3347.8,3482.0,3332.2,3432.8,3440.6,3363.4,222189,63251.0
20150120,IF1506,3376.0,3539.2,3376.0,3494.0,3499.4,3411.0,71287,40027.0
20150120,IF1509,3385.2,3572.4,3385.0,3524.4,3533.4,3336.4,20663,5315.0
20150121,IF1502,3405.0,3581.8,3405.0,3546.0,3554.0,3404.4,1459796,112574.0
20150121,IF1503,3442.0,3611.6,3442.0,3581.0,3584.2,3440.6,183756,59046.0
20150121,IF1506,3502.2,3674.0,3502.2,3650.0,3648.4,3499.4,55800,41302.0
20150121,IF1509,3536.0,3710.0,3535.0,3690.0,3689.2,3533.4,10978,6245.0
20150122,IF1502,3555.0,3595.0,3524.2,3561.2,3574.0,3554.0,1192074,108107.0
20150122,IF1503,3597.8,3625.6,3558.2,3595.0,3606.0,3584.2,134454,58762.0
20150122,IF1506,3656.0,3686.0,3621.8,3654.6,3666.8,3648.4,37094,40376.0
20150122,IF1509,3707.0,3721.2,3662.6,3692.0,3704.8,3689.2,5239,6590.0
20150123,IF1502,3579.6,3649.0,3551.6,3597.0,3578.6,3574.0,1448937,103279.0
20150123,IF1503,3613.0,3683.8,3590.2,3632.2,3615.6,3606.0,162773,60482.0
20150123,IF1506,3679.8,3742.0,3646.2,3691.6,3672.2,3666.8,47459,41184.0
20150123,IF1509,3704.6,3776.8,3684.0,3724.0,3709.2,3704.8,5868,7099.0
20150126,IF1502,3605.0,3635.2,3571.4,3626.8,3620.6,3578.6,1064911,107650.0
20150126,IF1503,3642.0,3668.0,3607.0,3658.0,3653.8,3615.6,112118,60983.0
20150126,IF1506,3695.0,3720.0,3662.0,3713.0,3707.8,3672.2,28678,40370.0
20150126,IF1509,3744.0,3753.0,3697.0,3743.4,3742.0,3709.2,4397,7637.0
20150127,IF1502,3639.4,3643.0,3508.2,3574.6,3585.0,3620.6,1322288,108253.0
