date,open,high,low,close
2014-12-01,5246.428,5247.007,5181.1,5208.139
2014-12-02,5201.37,5278.648,5196.093,5277.657
2014-12-03,5284.573,5339.248,5245.358,5339.005
2014-12-04,5345.007,5452.335,5343.125,5451.962
2014-12-05,5462.757,5464.226,5185.355,5333.892
2014-12-08,5310.567,5435.789,5266.021,5412.674
2014-12-09,5392.947,5465.086,5181.517,5195.406
2014-12-10,5184.017,5374.227,5150.995,5374.097
2014-12-11,5366.208,5454.918,5341.863,5454.443
2014-12-12,5457.228,5498.95,5437.655,5493.2
2014-12-15,5485.13,5588.853,5466.79,5583.597
2014-12-16,5590.266,5609.681,5548.963,5606.693
2014-12-17,5597.88,5597.88,5488.796,5557.286
2014-12-18,5551.038,5598.985,5543.401,5558.045
2014-12-19,5554.665,5558.176,5423.753,5524.122
2014-12-22,5523.661,5523.963,5279.96,5305.209
2014-12-23,5273.99,5316.717,5187.632,5193.722
2014-12-24,5212.069,5263.201,5197.721,5262.365
2014-12-25,5279.297,5365.074,5272.319,5364.563
2014-12-26,5370.332,5423.346,5359.533,5422.751
2014-12-29,5436.488,5436.488,5330.327,5367.637
2014-12-30,5357.388,5366.16,5261.615,5275.085
2014-12-31,5274.651,5322.714,5241.362,5322.714
2015-01-05,5338.752,5427.231,5314.339,5417.017
2015-01-06,5389.903,5482.124,5354.338,5479.864
2015-01-07,5471.402,5492.825,5436.918,5488.242
2015-01-08,5482.394,5497.744,5418.011,5444.037
2015-01-09,5424.501,5497.689,5409.058,5409.058
2015-01-12,5386.584,5386.584,5303.732,5332.221
2015-01-13,5333.968,5407.629,5333.968,5405.091
2015-01-14,5404.374,5417.802,5350.165,5379.738
2015-01-15,5380.447,5449.255,5380.336,5449.038
2015-01-16,5459.185,5520.785,5454.239,5520.123
2015-01-19,5359.47,5475.66,5222.04,5281.895
2015-01-20,5303.181,5472.736,5303.181,5472.514
2015-01-21,5490.84,5611.982,5490.526,5611.694
2015-01-22,5617.609,5690.43,5610.09,5690.156
2015-01-23,5697.837,5699.726,5611.066,5633.289
2015-01-26,5644.031,5759.367,5636.204,5758.979
2015-01-27,5767.737,5783.99,5670.431,5773.816
2015-01-28,5756.682,5798.571,5722.494,5739.919
2015-01-29,5692.387,5739.486,5670.505,5701.205
2015-01-30,5708.284,5735.932,5631.565,5632.728
2015-02-02,5568.435,5652.667,5539.523,5609.389
2015-02-03,5627.399,5708.281,5627.399,5707.476
2015-02-04,5720.975,5734.328,5680.833,5683.519
2015-02-05,5741.193,5745.136,5654.217,5654.217
2015-02-06,5640.025,5657.662,5510.763,5534.785
2015-02-09,5526.144,5551.898,5492.546,5504.974
2015-02-10,5502.725,5581.341,5500.535,5580.704
2015-02-11,5587.639,5642.297,5587.44,5641.786
2015-02-12,5647.546,5689.743,5640.858,5681.341
2015-02-13,5709.156,5789.382,5709.156,5769.272
2015-02-16,5786.153,5870.082,5786.038,5869.713
2015-02-17,5888.871,5914.285,5877.948,5911.098
2015-02-25,5926.234,5952.709,5887.366,5906.538
2015-02-26,5903.262,5970.06,5897.715,5969.557
2015-02-27,5974.359,6025.115,5970.681,6018.463
2015-03-02,6064.821,6139.792,6039.254,6139.792
2015-03-03,6124.276,6199.497,6099.131,6118.656
2015-03-04,6114.694,6211.089,6114.214,6210.421
2015-03-05,6212.66,6217.788,6161.377,6208.988
2015-03-06,6214.332,6234.114,6129.622,6133.026
2015-03-09,6113.581,6212.57,6080.543,6212.236
2015-03-10,6214.519,6299.281,6205.924,6276.485
2015-03-11,6275.173,6281.191,6236.793,6262.892
2015-03-12,6273.692,6288.517,6220.631,6260.137
2015-03-13,6271.818,6329.701,6271.818,6329.576
2015-03-16,6369.197,6517.031,6369.197,6516.765
2015-03-17,6547.39,6635.096,6525.829,6618.054
2015-03-18,6624.388,6728.506,6612.457,6728.068
2015-03-19,6733.12,6783.14,6687.442,6782.463
2015-03-20,6789.058,6862.375,6786.335,6850.897
2015-03-23,6891.922,7017.481,6891.922,7017.154
2015-03-24,7042.926,7055.1,6801.545,7046.123
2015-03-25,7051.821,7170.826,7001.514,7124.872
2015-03-26,7104.036,7171.621,6995.645,7074.437
2015-03-27,7076.488,7167.37,7060.432,7155.945
2015-03-30,7180.063,7259.541,7180.063,7245.497
2015-03-31,7280.15,7328.851,7214.481,7253.104
2015-04-01,7258.831,7430.945,7258.738,7425.733
2015-04-02,7463.907,7561.201,7447.119,7560.648
2015-04-03,7532.148,7682.723,7494.362,7679.01
2015-04-07,7728.91,7863.595,7728.8,7863.284
2015-04-08,7908.77,7920.983,7674.066,7807.997
2015-04-09,7818.2,7818.2,7483.278,7746.151
2015-04-10,7727.007,7971.622,7683.8,7952.189
2015-04-13,7994.253,8143.382,7977.0,8122.893
2015-04-14,8129.728,8192.238,8039.951,8119.959
2015-04-15,8093.134,8093.134,7786.93,7802.747
2015-04-16,7705.464,7976.121,7607.4,7912.088
2015-04-17,7979.354,8032.075,7925.743,7980.76
2015-04-20,7967.033,8051.47,7801.029,7839.901
2015-04-21,7852.515,8113.021,7846.614,8112.687
2015-04-22,8180.116,8333.821,8179.302,8323.427
2015-04-23,8371.85,8447.925,8275.126,8410.703
2015-04-24,8321.328,8453.341,8256.2,8419.095
2015-04-27,8503.57,8576.483,8413.234,8513.016
2015-04-28,8533.673,8543.33,8187.155,8266.483
2015-04-29,8248.315,8449.701,8204.73,8428.254
2015-04-30,8460.394,8551.465,8458.601,8469.673
2015-05-04,8493.963,8532.654,8381.373,8510.481
2015-05-05,8501.119,8501.119,8160.656,8199.344
2015-05-06,8220.597,8359.296,8012.483,8082.999
2015-05-07,8043.008,8076.23,7886.362,7903.478
2015-05-08,7989.339,8201.804,7983.826,8201.293
2015-05-11,8292.625,8558.801,8242.098,8558.218
2015-05-12,8595.08,8746.21,8564.663,8745.678
2015-05-13,8719.584,8909.575,8643.43,8824.929
2015-05-14,8829.827,8878.47,8725.297,8813.393
2015-05-15,8790.006,8828.115,8626.229,8742.885
2015-05-18,8725.41,8929.944,8698.898,8903.595
2015-05-19,8927.387,9125.515,8904.189,9124.833
2015-05-20,9176.026,9429.22,9173.403,9277.331
2015-05-21,9320.842,9620.095,9320.23,9619.223
2015-05-22,9756.529,9821.811,9547.422,9778.171
2015-05-25,9717.511,10040.71,9659.316,10040.09
2015-05-26,10117.73,10373.84,10046.24,10373.58
2015-05-27,10421.3,10539.75,10192.18,10497.34
2015-05-28,10501.36,10637.91,9860.554,9868.424
2015-05-29,9846.389,10140.1,9433.088,9966.845
2015-06-01,10067.53,10488.89,10067.53,10488.31
2015-06-02,10592.75,10887.88,10541.28,10886.4
2015-06-03,10973.96,11055.21,10674.07,10979.99
2015-06-04,10986.42,11023.34,10269.04,10965.41
2015-06-05,11117.36,11236.15,10887.17,11144.52
2015-06-08,11157.18,11157.18,10860.39,11030.92
2015-06-09,11009.88,11089.2,10861.58,11013.74
2015-06-10,10947.49,11319.9,10830.33,11208.06
2015-06-11,11220.07,11367.63,11155.95,11366.29
2015-06-12,11424.33,11616.38,11400.65,11545.89
2015-06-15,11589.95,11616.35,11304.04,11332.89
2015-06-16,11205.75,11205.75,10768.62,10879.84
2015-06-17,10865.39,11133.11,10497.69,11100.55
2015-06-18,11093.3,11178.32,10714.33,10731.38
2015-06-19,10475.92,10601.04,9968.992,9987.407
2015-06-23,9951.782,10074.83,9333.91,10046.88
2015-06-24,10136.25,10271.23,9950.618,10267.63
2015-06-25,10298.56,10343.05,9771.89,9906.104
2015-06-26,9571.555,9603.127,9059.358,9078.065
2015-06-29,9267.028,9281.172,8339.33,8484.643
2015-06-30,8302.181,8912.397,7882.329,8906.02
2015-07-01,8808.514,9103.093,8385.433,8411.91
2015-07-02,8369.492,8433.524,7787.099,7835.104
2015-07-03,7530.265,7930.146,7249.309,7355.491
2015-07-06,7842.429,7842.429,6883.614,7235.999
2015-07-07,6977.548,7030.978,6763.118,6763.526
2015-07-08,6444.667,6702.279,6444.248,6602.374
2015-07-09,6525.121,6896.493,6525.121,6896.352
2015-07-10,7101.818,7245.328,7081.354,7244.784
2015-07-13,7563.38,7695.669,7502.551,7695.635
2015-07-14,7853.997,8076.191,7772.393,7859.057
2015-07-15,7836.084,7837.844,7391.96,7405.295
2015-07-16,7342.831,7729.697,7078.71,7578.759
2015-07-17,7629.782,8050.728,7620.162,7994.697
2015-07-20,8025.104,8250.398,7931.651,8116.496
2015-07-21,8011.904,8291.927,7937.629,8220.463
2015-07-22,8207.173,8354.385,8075.595,8320.236
2015-07-23,8330.47,8585.801,8288.842,8551.991
2015-07-24,8580.647,8706.252,8348.418,8425.074
2015-07-27,8240.678,8493.348,7791.6,7794.181
2015-07-28,7514.148,7893.938,7261.607,7649.82
2015-07-29,7765.949,8024.577,7472.633,8022.796
2015-07-30,7979.569,8174.701,7766.462,7800.58
2015-07-31,7692.478,7876.645,7634.538,7727.061
2015-08-03,7605.895,7658.173,7370.043,7540.205
2015-08-04,7548.029,7942.268,7532.829,7942.095
2015-08-05,7933.317,8047.696,7773.924,7839.338
2015-08-06,7660.583,7891.564,7633.289,7792.028
2015-08-07,7874.416,8015.366,7855.684,8013.319
