date,300750,300502,601318,601899,600519,600036,000333,603259,600900,002371,002475,601166,600030,603986,601398,601138,002384,300059,002594,600183,000725,600276,601211,601288,600919,000651,300394,002463,601328,600887,603993,600150,300476,300408,601857,000338,600309,000858,300274,601088,600000,603019,600031,300124,002415,000001,002714,601688,000063,601601,601225,600584,601919,000100,600176,000988,300308,600111,300760,600089,600522,601229,601988,601939,600660,600406,000792,601668,002916,000938,002142,000977,600926,600016,002028,002602,300014,002050,600028,002353,601169,600690,002230,601600,300433,300498,601766,002352,600489,601012,601985,603501,601009,300033,002938,600547,600050,000425,000776,002460,601872,000408,002241,603799,600999,000657,600549,600809,601006,000568,000807,603288,601100,601818,600160,300442,000630,002837,600760,601628,002709,002466,601888,600893,600010,600362,002202,600019,002027,601336,002625,300661
2018-01-02,,28.42,72.59,4.61,703.85,29.62,56.38,,15.64,41.93,23.05,17.24,18.44,,6.18,,27.7,13.0,65.85,18.48,5.73,68.67,18.73,3.85,7.44,45.15,22.63,5.32,6.28,31.95,6.94,,23.95,19.78,8.25,8.64,,80.58,19.19,23.81,12.72,40.86,9.48,29.56,39.13,13.7,52.93,18.02,35.73,41.91,8.61,21.99,6.9,3.91,17.92,16.7,58.78,14.81,,10.05,13.79,14.39,3.98,7.79,29.89,18.35,14.07,9.21,,72.27,18.5,20.19,11.64,8.52,16.34,34.34,19.69,19.57,6.37,13.64,7.18,18.99,60.57,,28.9,24.39,12.75,50.57,10.0,35.91,7.39,42.48,7.8,49.31,,31.56,6.44,4.72,17.11,71.1,4.45,17.77,17.32,80.97,17.54,12.55,26.1,56.34,9.13,65.78,10.62,53.11,29.11,4.08,10.96,21.47,2.93,20.38,35.32,30.49,47.99,53.23,43.05,26.79,2.5,20.54,19.38,8.96,14.08,70.9,,92.33
2018-01-03,,29.58,70.97,4.63,715.86,29.97,55.8,,15.99,41.97,23.98,17.2,18.61,,6.16,,29.8,13.24,66.12,18.25,5.77,68.83,19.18,3.88,7.51,45.65,23.17,5.33,6.3,32.61,7.05,,23.88,20.0,8.27,8.56,,80.9,19.34,23.31,12.66,42.61,9.47,29.41,39.64,13.33,52.66,18.48,36.69,40.66,8.64,21.92,7.03,3.99,18.13,17.06,58.7,14.77,,10.16,14.28,14.56,4.0,7.75,29.54,18.6,14.18,9.22,,72.41,18.38,20.18,11.72,8.58,16.34,33.71,19.89,19.94,6.47,13.52,7.26,18.73,62.0,,31.0,24.4,12.69,50.67,10.01,37.53,7.4,41.45,7.84,50.09,,31.63,6.7,4.69,17.3,73.87,4.46,18.1,17.7,87.17,17.82,12.54,26.26,56.67,9.29,66.4,10.84,53.08,28.95,4.11,10.99,21.58,2.91,20.68,34.71,30.28,49.5,56.86,45.68,27.23,2.51,20.28,19.17,8.93,13.79,68.28,,93.6
2018-01-04,,28.86,71.18,4.69,737.07,29.65,57.29,,15.85,42.08,24.3,17.19,18.67,,6.07,,31.23,13.05,65.05,18.22,5.72,70.57,19.1,3.87,7.58,46.58,23.05,5.35,6.29,33.42,7.23,,23.67,20.72,8.55,8.61,,82.99,18.95,23.09,12.66,42.58,9.44,28.86,40.5,13.25,52.61,18.43,36.9,39.78,8.89,21.77,7.11,3.96,17.92,17.16,57.66,14.95,,10.16,14.2,14.78,4.0,7.61,29.62,18.47,14.28,9.18,95.95,71.98,18.39,19.93,11.94,8.54,16.35,33.98,19.66,20.04,6.9,14.87,7.3,19.04,62.94,,31.15,24.62,12.64,53.15,9.97,38.16,7.42,45.6,7.85,49.89,,31.57,6.68,4.69,17.22,73.93,4.63,18.07,17.58,89.79,17.81,12.66,26.71,58.91,9.26,68.75,10.95,55.44,29.48,4.1,11.26,21.51,2.93,20.49,36.68,30.07,49.3,57.82,45.47,27.09,2.5,20.8,19.07,8.94,13.66,66.81,29.97,93.3
2018-01-05,,28.27,70.89,4.63,738.36,30.1,57.96,,16.01,40.05,23.85,17.2,18.88,,6.08,,31.42,13.06,64.38,18.21,5.58,70.32,19.12,3.87,7.57,47.88,23.13,5.28,6.28,33.43,7.16,,24.26,21.86,8.59,8.48,,82.68,18.14,23.66,12.69,42.59,9.59,28.3,39.78,13.3,53.83,18.57,36.04,39.52,8.85,21.08,7.22,3.92,18.04,17.01,57.45,14.63,,10.03,13.88,14.86,3.98,7.68,29.36,18.14,14.67,9.49,92.8,70.71,18.17,19.68,11.88,8.6,16.35,35.12,19.42,19.8,7.06,14.7,7.29,18.98,61.95,,30.64,25.41,12.68,52.42,10.02,38.17,7.42,43.9,7.83,51.24,,31.96,6.73,4.75,17.28,71.9,4.6,18.98,17.3,90.95,17.82,12.6,26.29,58.45,9.41,68.05,10.58,54.46,32.43,4.12,11.29,21.56,2.9,20.27,36.02,29.74,49.63,57.17,45.17,26.56,2.5,20.15,18.72,8.87,13.79,65.38,28.03,91.0
2018-01-08,,25.5,70.01,4.85,752.13,29.47,57.66,,15.98,38.76,23.5,17.22,19.54,,6.07,,30.13,13.2,65.21,18.33,5.58,71.26,19.46,3.86,7.59,47.83,22.89,5.14,6.31,33.56,7.3,,24.8,21.58,8.53,8.93,,82.2,17.57,25.08,12.68,41.36,9.88,27.79,40.8,12.96,59.21,19.8,35.57,38.85,9.4,20.87,7.25,3.88,18.17,16.88,56.9,15.09,,10.24,13.83,14.81,4.01,7.59,29.79,17.97,15.08,9.52,99.0,69.79,17.76,18.79,11.88,8.72,16.39,35.48,19.84,19.77,7.05,14.85,7.23,19.83,61.26,,29.81,26.95,12.29,51.72,10.09,37.17,7.41,44.91,7.89,52.05,,32.38,6.83,4.88,17.77,72.29,4.6,19.12,16.83,94.18,18.55,12.73,26.95,57.36,9.77,68.45,10.94,53.95,33.81,4.13,11.42,21.56,2.97,19.82,36.14,29.65,49.92,58.1,46.47,26.3,2.54,20.82,18.69,9.29,13.51,63.71,25.83,89.01
2018-01-09,,25.96,71.87,4.81,782.52,29.77,59.48,,16.13,38.46,24.1,17.18,19.44,,6.09,,30.5,13.0,65.42,17.91,6.01,74.7,19.3,3.83,7.58,49.4,23.0,5.15,6.28,34.59,7.24,,25.45,21.74,8.51,8.87,,86.1,17.24,24.79,12.7,41.77,9.75,27.73,40.9,13.08,59.61,19.69,36.35,38.93,9.3,20.86,7.1,4.03,17.54,17.32,59.42,15.3,,10.11,14.0,14.76,3.96,7.56,29.64,18.01,14.81,9.45,92.24,70.31,17.71,18.7,11.85,8.68,16.25,34.85,19.64,20.76,7.0,15.0,7.24,20.22,61.53,,30.52,26.68,12.2,51.99,9.86,36.74,7.4,43.72,8.07,51.36,,31.89,6.79,4.76,17.64,71.91,4.54,19.3,16.94,92.96,18.22,12.81,27.11,59.16,9.86,70.3,10.78,55.78,33.63,4.1,11.19,21.56,2.93,20.08,37.47,30.25,47.81,57.73,46.64,26.84,2.55,20.99,18.83,9.1,13.44,64.48,25.84,86.82
2018-01-10,,25.7,71.72,4.82,785.71,30.53,60.56,,16.17,36.9,23.3,18.18,19.61,,6.16,,30.0,13.0,65.67,17.53,6.09,74.9,19.16,3.91,7.62,51.05,22.68,5.17,6.32,34.62,7.21,,25.4,21.96,8.75,8.92,,88.9,16.8,24.91,13.02,39.72,9.75,27.5,41.62,13.47,59.33,19.91,35.92,38.74,9.23,20.78,7.12,3.99,17.53,17.1,61.39,15.2,,9.93,14.07,14.81,4.03,7.78,30.0,17.8,15.21,9.61,95.0,70.0,18.03,18.94,11.84,8.82,16.04,35.04,19.42,20.24,7.15,15.51,7.3,20.75,60.37,,31.0,26.33,12.24,51.39,9.7,37.38,7.4,43.4,8.12,51.69,,31.25,6.68,4.75,17.78,69.87,4.58,19.02,16.7,92.31,18.16,12.56,26.39,59.1,9.87,70.93,11.02,57.16,33.46,4.13,11.23,21.03,2.88,19.61,39.48,30.12,47.61,55.71,46.38,26.41,2.52,20.66,18.48,9.05,13.57,63.35,25.12,81.86
2018-01-11,,25.94,72.65,4.72,774.81,30.92,59.62,,16.32,37.22,23.36,18.03,19.28,,6.21,,30.46,13.3,65.4,17.94,6.09,74.27,19.17,3.99,7.64,50.8,22.93,5.14,6.35,34.23,7.77,,25.4,21.94,8.76,8.74,,87.96,17.12,24.28,12.94,40.94,9.38,26.93,41.9,13.4,58.68,19.65,36.42,39.12,8.96,20.74,7.04,3.96,17.01,17.15,61.61,15.1,,9.95,14.13,14.8,4.09,7.87,29.79,18.11,16.3,9.58,96.1,72.2,18.28,19.04,11.73,8.8,15.95,34.8,19.83,20.4,7.08,15.21,7.3,20.96,66.41,,30.28,26.46,12.23,51.54,9.82,36.02,7.39,42.93,8.27,53.58,,31.58,6.73,4.57,17.57,70.43,4.57,19.31,17.02,94.23,18.11,12.7,26.58,58.91,9.78,70.14,10.96,56.52,32.28,4.15,11.14,21.23,2.89,20.18,38.91,30.29,47.0,55.46,45.89,26.26,2.49,20.37,18.17,8.83,13.34,63.62,25.29,82.88
2018-01-12,,24.6,74.41,4.64,788.42,31.51,60.8,,16.28,35.62,23.29,17.93,19.33,,6.25,,31.11,13.23,67.08,17.38,6.07,74.61,19.15,4.01,7.61,53.3,22.71,5.08,6.37,34.82,7.64,,24.89,21.97,8.75,8.67,,91.37,16.93,24.36,12.91,39.52,9.34,27.01,42.82,13.55,58.96,19.76,35.82,40.34,9.05,20.58,6.97,4.0,17.11,16.78,61.72,14.83,,9.9,13.84,14.78,4.09,7.89,29.39,17.52,15.99,9.49,94.04,70.83,18.51,18.48,11.67,8.8,15.74,35.1,19.42,20.1,7.15,15.25,7.29,21.5,64.82,,29.51,26.89,12.15,51.46,10.01,36.69,7.35,43.21,8.35,52.14,,32.59,6.63,4.58,17.63,69.8,4.56,18.87,16.68,91.62,18.05,12.53,25.88,59.3,9.75,71.02,10.47,57.11,32.41,4.16,11.02,20.98,2.88,19.66,35.02,30.39,47.12,54.6,45.93,26.16,2.5,20.1,18.25,9.09,13.55,64.88,24.69,82.27
