stock_code,in_products
000001,IF
000002,IF
000009,IC
000012,IM
000021,IC
000027,IC
000028,IM
000029,IM
000030,IM
000032,IC
000034,IC
000035,IM
000039,IC
000048,IM
000049,IM
000050,IC
000058,IM
000059,IM
000060,IC
000061,IM
000062,IC
000063,IF
000065,IM
000088,IC
000089,IM
000099,IM
000100,IF
000155,IC
000156,IM
000157,IF
000166,IF
000301,IF
000333,IF
000338,IF
000400,IC
000403,IM
000408,IF
000415,IC
000420,IM
000422,IM
000423,IC
000425,IF
000429,IC
000498,IM
000503,IM
000506,IM
000513,IC
000519,IC
000528,IC
000534,IM
000537,IC
000538,IF
000539,IC
000543,IM
000550,IM
000552,IM
000555,IM
000559,IC
000563,IM
000567,IM
000568,IF
000581,IM
000582,IC
000591,IC
000596,IF
000598,IC
000600,IM
000603,IM
000612,IM
000617,IF
000620,IM
000623,IC
000625,IF
000628,IM
000629,IC
000630,IF
000636,IM
000650,IM
000651,IF
000657,IF
000661,IC
000672,IM
000676,IM
000680,IM
000681,IM
000682,IM
000683,IC
000685,IM
000686,IM
000688,IM
000690,IM
000703,IC
000708,IF
000709,IC
000712,IM
000719,IM
000723,IC
000725,IF
000727,IM
000728,IC
000729,IC
000733,IC
000737,IC
000738,IC
000739,IC
000750,IC
000758,IM
000762,IM
000766,IM
000767,IM
000768,IF
000776,IF
000778,IM
000783,IC
000785,IC
000786,IC
000791,IM
000792,IF
000795,IM
000800,IC
000801,IM
000807,IF
000810,IM
000811,IM
000813,IM
000825,IC
000828,IM
000829,IM
000830,IC
000831,IC
000833,IM
000837,IM
000848,IM
000858,IF
000860,IM
000875,IM
000878,IC
000880,IM
000883,IC
000885,IM
000887,IC
000893,IC
000895,IF
000898,IC
000899,IM
000901,IM
000902,IM
000913,IM
000917,IM
000921,IC
000923,IM
000927,IM
000928,IM
000930,IM
000932,IC
000935,IM
000937,IC
000938,IF
000950,IM
000951,IC
000959,IC
000960,IC
000962,IM
000963,IF
000966,IM
000967,IC
000969,IM
000970,IM
000973,IM
000975,IF
000977,IF
000983,IC
000987,IC
000988,IF
000990,IM
000997,IC
000998,IM
000999,IF
001203,IC
001221,IC
001227,IM
001233,IM
001236,IM
001267,IM
001280,IF
001286,IC
001287,IM
001301,IM
001309,IC
001337,IM
001339,IM
001359,IM
001369,IM
001382,IM
001386,IC
001389,IC
001391,IF
001696,IC
001896,IM
001914,IM
001965,IF
001979,IF
002001,IF
002003,IM
002004,IM
002006,IM
002007,IC
002008,IC
002010,IM
002011,IM
002015,IM
002017,IM
002019,IM
002020,IM
002023,IM
002025,IC
002027,IF
002028,IF
002032,IC
002036,IM
002041,IM
002043,IM
002044,IC
002045,IM
002046,IM
002048,IM
002049,IF
002050,IF
002051,IM
002053,IM
002056,IC
002060,IM
002061,IM
002063,IM
002064,IC
002065,IC
002073,IM
002074,IF
002075,IM
002077,IM
002078,IC
002081,IM
002085,IC
002091,IM
002093,IM
002096,IM
002097,IM
002099,IM
002100,IM
002101,IM
002104,IM
002110,IM
002120,IC
002121,IM
002123,IM
002125,IM
002126,IC
002127,IM
002130,IC
002131,IC
002138,IC
002139,IM
002142,IF
002145,IM
002149,IM
002151,IM
002152,IC
002153,IC
002155,IC
002157,IC
002158,IM
002163,IM
002170,IM
002171,IM
002174,IM
002176,IM
002179,IF
002181,IM
002182,IM
002183,IM
002185,IC
002192,IM
002194,IM
002195,IC
002202,IF
002203,IC
002204,IM
002212,IM
002215,IM
002216,IM
002221,IM
002222,IM
002223,IC
002226,IM
002230,IF
002233,IM
002236,IF
002237,IM
002239,IM
002241,IF
002243,IM
002244,IC
002245,IM
002246,IM
002249,IM
002250,IM
002251,IM
002252,IC
002254,IM
002258,IM
002261,IC
002262,IC
002265,IC
002266,IC
002267,IM
002268,IM
002270,IM
002271,IC
002273,IC
002276,IM
002281,IC
002287,IM
002290,IM
002292,IM
002299,IC
002304,IF
002311,IF
002312,IC
002315,IM
002317,IM
002318,IC
002320,IM
002324,IM
002326,IM
002332,IM
002335,IC
002338,IM
002340,IC
002345,IM
002351,IM
002352,IF
002353,IF
002354,IM
002364,IM
002368,IM
002371,IF
002372,IM
002373,IM
002378,IM
002384,IF
002389,IM
002396,IM
002400,IM
002402,IC
002405,IM
002407,IC
002408,IM
002409,IC
002410,IC
002414,IC
002415,IF
002416,IM
002422,IF
002423,IC
002428,IM
002429,IC
002430,IC
002432,IC
002434,IM
002436,IC
002444,IC
002456,IM
002458,IM
002460,IF
002461,IC
002463,IF
002465,IC
002466,IF
002468,IM
002472,IC
002475,IF
002484,IM
002487,IC
002488,IM
002493,IF
002497,IM
002498,IM
002500,IC
002506,IM
002507,IM
002508,IC
002511,IM
002516,IM
002517,IC
002518,IM
002531,IM
002532,IF
002534,IM
002536,IM
002537,IM
002539,IM
002541,IM
002544,IM
002545,IM
002549,IM
002550,IM
002557,IM
002558,IF
002563,IM
002568,IC
002572,IM
002583,IC
002588,IM
002594,IF
002597,IM
002600,IF
002601,IC
002602,IF
002603,IC
002605,IM
002608,IC
002611,IM
002617,IM
002624,IC
002625,IF
002626,IM
002635,IM
002636,IM
002639,IM
002643,IM
002648,IF
002651,IM
