wind_code,i_weight
000002.SZ,1.641
000008.SZ,0.14
000009.SZ,0.177
000060.SZ,0.186
000063.SZ,0.618
000069.SZ,0.246
000100.SZ,0.24
000156.SZ,0.076
000157.SZ,0.181
000166.SZ,0.322
000333.SZ,1.837
000338.SZ,0.333
000402.SZ,0.134
000413.SZ,0.244
000415.SZ,0.113
000423.SZ,0.312
000425.SZ,0.142
000503.SZ,0.165
000538.SZ,0.434
000540.SZ,0.19
000555.SZ,0.044
000559.SZ,0.153
000568.SZ,0.361
000623.SZ,0.192
000625.SZ,0.254
000627.SZ,0.104
000630.SZ,0.175
000651.SZ,1.675
000671.SZ,0.104
000686.SZ,0.133
000709.SZ,0.172
000718.SZ,0.076
000725.SZ,0.96
000728.SZ,0.229
000738.SZ,0.084
000750.SZ,0.159
000768.SZ,0.244
000776.SZ,0.516
000783.SZ,0.297
000792.SZ,0.242
000793.SZ,0.187
000826.SZ,0.169
000839.SZ,0.282
000858.SZ,0.998
000876.SZ,0.143
000895.SZ,0.226
000917.SZ,0.11
000938.SZ,0.082
000959.SZ,0.101
000961.SZ,0.064
000963.SZ,0.219
000977.SZ,0.137
000983.SZ,0.149
001979.SZ,0.398
002007.SZ,0.139
002008.SZ,0.342
002024.SZ,0.448
002027.SZ,0.158
002044.SZ,0.189
002049.SZ,0.124
002065.SZ,0.194
002074.SZ,0.153
002081.SZ,0.161
002131.SZ,0.078
002142.SZ,0.367
002146.SZ,0.153
002152.SZ,0.087
002153.SZ,0.069
002174.SZ,0.076
002183.SZ,0.115
002195.SZ,0.129
002202.SZ,0.244
002230.SZ,0.479
002236.SZ,0.32
002241.SZ,0.362
002252.SZ,0.285
002292.SZ,0.071
002299.SZ,0.063
002304.SZ,0.562
002310.SZ,0.207
002352.SZ,0.111
002385.SZ,0.116
002411.SZ,0.114
002415.SZ,1.085
002424.SZ,0.068
002426.SZ,0.144
002450.SZ,0.481
002456.SZ,0.37
002465.SZ,0.172
002466.SZ,0.385
002470.SZ,0.116
002475.SZ,0.241
002500.SZ,0.176
002508.SZ,0.184
002555.SZ,0.085
002558.SZ,0.093
002594.SZ,0.341
002602.SZ,0.088
002673.SZ,0.251
002714.SZ,0.118
002736.SZ,0.309
002739.SZ,0.224
002797.SZ,0.045
002831.SZ,0.026
002839.SZ,0.025
002841.SZ,0.031
300017.SZ,0.16
300024.SZ,0.214
300027.SZ,0.139
300033.SZ,0.123
300059.SZ,0.327
300070.SZ,0.311
300072.SZ,0.251
300104.SZ,0.337
300124.SZ,0.265
300133.SZ,0.07
300144.SZ,0.125
300168.SZ,0.091
300251.SZ,0.088
300315.SZ,0.133
600000.SH,1.329
600008.SH,0.142
600009.SH,0.336
600010.SH,0.339
600015.SH,0.546
600016.SH,1.741
600018.SH,0.199
600019.SH,0.6
600021.SH,0.088
600023.SH,0.2
600028.SH,0.569
600029.SH,0.267
600030.SH,1.315
600031.SH,0.269
600036.SH,2.42
600037.SH,0.094
600038.SH,0.095
600048.SH,0.679
600050.SH,0.578
600060.SH,0.113
600061.SH,0.166
600066.SH,0.3
600068.SH,0.263
600074.SH,0.093
600085.SH,0.163
600089.SH,0.339
600100.SH,0.199
600104.SH,0.972
600109.SH,0.228
600111.SH,0.323
600115.SH,0.183
600118.SH,0.153
600150.SH,0.156
600153.SH,0.152
600157.SH,0.164
600170.SH,0.157
600177.SH,0.193
600188.SH,0.046
600196.SH,0.316
600208.SH,0.169
600221.SH,0.196
600233.SH,0.069
600256.SH,0.121
600271.SH,0.193
600276.SH,0.93
600297.SH,0.166
600309.SH,0.529
600332.SH,0.144
600340.SH,0.337
600352.SH,0.215
600362.SH,0.176
600369.SH,0.151
600372.SH,0.079
600373.SH,0.112
600376.SH,0.105
600383.SH,0.238
600406.SH,0.221
600415.SH,0.176
600436.SH,0.161
600446.SH,0.091
600482.SH,0.08
600485.SH,0.235
600489.SH,0.17
600498.SH,0.167
600518.SH,0.547
600519.SH,2.388
600522.SH,0.282
600535.SH,0.209
600547.SH,0.214
600549.SH,0.128
600570.SH,0.232
600583.SH,0.125
600585.SH,0.459
600588.SH,0.159
600606.SH,0.252
600637.SH,0.246
600649.SH,0.114
600660.SH,0.328
600663.SH,0.151
600674.SH,0.19
600682.SH,0.156
600685.SH,0.08
600688.SH,0.127
600690.SH,0.422
600703.SH,0.52
600704.SH,0.124
600705.SH,0.241
600718.SH,0.136
600737.SH,0.089
600739.SH,0.204
600741.SH,0.326
600795.SH,0.359
600804.SH,0.206
600816.SH,0.212
600820.SH,0.168
600827.SH,0.112
600837.SH,1.098
600871.SH,0.052
600886.SH,0.274
600887.SH,1.535
600893.SH,0.28
600895.SH,0.119
600900.SH,0.913
600909.SH,0.106
600919.SH,0.097
600926.SH,0.052
600958.SH,0.459
600959.SH,0.151
600977.SH,0.089
600999.SH,0.449
601006.SH,0.478
601009.SH,0.37
601018.SH,0.213
601021.SH,0.074
601088.SH,0.381
601099.SH,0.261
601111.SH,0.16
601117.SH,0.123
601118.SH,0.093
601127.SH,0.037
601155.SH,0.148
601163.SH,0.054
601166.SH,1.979
601169.SH,1.0
601186.SH,0.501
601198.SH,0.186
601211.SH,0.896
601216.SH,0.157
601225.SH,0.242
601229.SH,0.141
601288.SH,1.341
601318.SH,5.387
601328.SH,1.595
601333.SH,0.158
601336.SH,0.434
601375.SH,0.068
601377.SH,0.365
601390.SH,0.592
601398.SH,1.188
601555.SH,0.269
601600.SH,0.489
601601.SH,1.066
601607.SH,0.252
601608.SH,0.082
601611.SH,0.057
601618.SH,0.252
601628.SH,0.424
601633.SH,0.136
