product,index_code,weight_date,stock_code,stock_name,weight_pct
IF,000300,2026-07-31,000001,平安银行,0.433
IF,000300,2026-07-31,000002,万科A,0.087
IF,000300,2026-07-31,000063,中兴通讯,0.418
IF,000300,2026-07-31,000100,TCL科技,0.378
IF,000300,2026-07-31,000157,中联重科,0.145
IF,000300,2026-07-31,000166,申万宏源,0.162
IF,000300,2026-07-31,000301,东方盛虹,0.119
IF,000300,2026-07-31,000333,美的集团,1.634
IF,000300,2026-07-31,000338,潍柴动力,0.577
IF,000300,2026-07-31,000408,藏格矿业,0.243
IF,000300,2026-07-31,000425,徐工机械,0.282
IF,000300,2026-07-31,000538,云南白药,0.181
IF,000300,2026-07-31,000568,泸州老窖,0.257
IF,000300,2026-07-31,000596,古井贡酒,0.06
IF,000300,2026-07-31,000617,中油资本,0.07
IF,000300,2026-07-31,000625,长安汽车,0.15
IF,000300,2026-07-31,000630,铜陵有色,0.192
IF,000300,2026-07-31,000651,格力电器,0.727
IF,000300,2026-07-31,000657,中钨高新,0.173
IF,000300,2026-07-31,000708,中信特钢,0.058
IF,000300,2026-07-31,000725,京东方A,0.769
IF,000300,2026-07-31,000768,中航西飞,0.113
IF,000300,2026-07-31,000776,广发证券,0.242
IF,000300,2026-07-31,000792,盐湖股份,0.333
IF,000300,2026-07-31,000807,云铝股份,0.213
IF,000300,2026-07-31,000858,五 粮 液,0.581
IF,000300,2026-07-31,000895,双汇发展,0.104
IF,000300,2026-07-31,000938,紫光股份,0.306
IF,000300,2026-07-31,000963,华东医药,0.098
IF,000300,2026-07-31,000975,山金国际,0.149
IF,000300,2026-07-31,000977,浪潮信息,0.283
IF,000300,2026-07-31,000988,华工科技,0.368
IF,000300,2026-07-31,000999,华润三九,0.066
IF,000300,2026-07-31,001280,中国铀业,0.04
IF,000300,2026-07-31,001391,国货航,0.025
IF,000300,2026-07-31,001965,招商公路,0.079
IF,000300,2026-07-31,001979,招商蛇口,0.096
IF,000300,2026-07-31,002001,新和成,0.177
IF,000300,2026-07-31,002027,分众传媒,0.218
IF,000300,2026-07-31,002028,思源电气,0.374
IF,000300,2026-07-31,002049,紫光国微,0.17
IF,000300,2026-07-31,002050,三花智控,0.322
IF,000300,2026-07-31,002074,国轩高科,0.119
IF,000300,2026-07-31,002142,宁波银行,0.404
IF,000300,2026-07-31,002179,中航光电,0.166
IF,000300,2026-07-31,002202,金风科技,0.195
IF,000300,2026-07-31,002230,科大讯飞,0.311
IF,000300,2026-07-31,002236,大华股份,0.126
IF,000300,2026-07-31,002241,歌尔股份,0.22
IF,000300,2026-07-31,002304,洋河股份,0.099
IF,000300,2026-07-31,002311,海大集团,0.156
IF,000300,2026-07-31,002352,顺丰控股,0.322
IF,000300,2026-07-31,002353,杰瑞股份,0.318
IF,000300,2026-07-31,002371,北方华创,1.141
IF,000300,2026-07-31,002384,东山精密,0.844
IF,000300,2026-07-31,002415,海康威视,0.53
IF,000300,2026-07-31,002422,科伦药业,0.186
IF,000300,2026-07-31,002460,赣锋锂业,0.215
IF,000300,2026-07-31,002463,沪电股份,0.536
IF,000300,2026-07-31,002466,天齐锂业,0.18
IF,000300,2026-07-31,002475,立讯精密,1.125
IF,000300,2026-07-31,002493,荣盛石化,0.142
IF,000300,2026-07-31,002532,天山铝业,0.164
IF,000300,2026-07-31,002558,巨人网络,0.149
IF,000300,2026-07-31,002594,比亚迪,0.998
IF,000300,2026-07-31,002600,领益智造,0.174
IF,000300,2026-07-31,002602,世纪华通,0.306
IF,000300,2026-07-31,002625,光启技术,0.204
IF,000300,2026-07-31,002648,卫星化学,0.164
IF,000300,2026-07-31,002709,天赐材料,0.196
IF,000300,2026-07-31,002714,牧原股份,0.411
IF,000300,2026-07-31,002736,国信证券,0.122
IF,000300,2026-07-31,002837,英维克,0.139
IF,000300,2026-07-31,002916,深南电路,0.322
IF,000300,2026-07-31,002920,德赛西威,0.106
IF,000300,2026-07-31,002938,鹏鼎控股,0.217
IF,000300,2026-07-31,003816,中国广核,0.125
IF,000300,2026-07-31,300014,亿纬锂能,0.317
IF,000300,2026-07-31,300015,爱尔眼科,0.162
IF,000300,2026-07-31,300033,同花顺,0.271
IF,000300,2026-07-31,300059,东方财富,0.98
