date,product,role,contract,expire,spot,future,basis_raw,calibre,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-01-05,IC,current,IC1501,2015-01-16,5417.017,,,y,0.0,,,
2015-01-05,IC,current,IC1501,2015-01-16,5417.017,,,d,0.0,,,
2015-01-05,IC,current,IC1501,2015-01-16,5417.017,,,p,0.0,,,
2015-01-05,IC,current,IC1501,2015-01-16,5417.017,,,pq,0.0,,,
2015-01-05,IC,next,IC1502,2015-02-20,5417.017,,,y,0.054567607470643625,,,1.0
2015-01-05,IC,next,IC1502,2015-02-20,5417.017,,,d,0.054567607470643625,,,1.0
2015-01-05,IC,next,IC1502,2015-02-20,5417.017,,,p,0.054567607470643625,,,1.0
2015-01-05,IC,next,IC1502,2015-02-20,5417.017,,,pq,0.054567607470643625,,,1.0
2015-01-05,IC,q1,IC1503,2015-03-20,5417.017,,,y,0.2032117469323701,,,0.2685258519469546
2015-01-05,IC,q1,IC1503,2015-03-20,5417.017,,,d,0.2032117469323701,,,0.2685258519469546
2015-01-05,IC,q1,IC1503,2015-03-20,5417.017,,,p,0.2032117469323701,,,0.2685258519469546
2015-01-05,IC,q1,IC1503,2015-03-20,5417.017,,,pq,0.2032117469323701,,,0.2685258519469546
2015-01-05,IC,q2,IC1506,2015-06-19,5417.017,,,y,31.07193497721061,,,0.0017561702388559216
2015-01-05,IC,q2,IC1506,2015-06-19,5417.017,,,d,31.083291585808798,,,0.0017555286035265546
2015-01-05,IC,q2,IC1506,2015-06-19,5417.017,,,p,31.2106066568677,,,0.0017483674082521034
2015-01-05,IC,q2,IC1506,2015-06-19,5417.017,,,pq,31.2106066568677,,,0.0017483674082521034
2015-01-06,IC,current,IC1501,2015-01-16,5479.864,,,y,0.0,,,
2015-01-06,IC,current,IC1501,2015-01-16,5479.864,,,d,0.0,,,
2015-01-06,IC,current,IC1501,2015-01-16,5479.864,,,p,0.0,,,
2015-01-06,IC,current,IC1501,2015-01-16,5479.864,,,pq,0.0,,,
2015-01-06,IC,next,IC1502,2015-02-20,5479.864,,,y,0.05520068844984445,,,1.0
2015-01-06,IC,next,IC1502,2015-02-20,5479.864,,,d,0.05520068844984445,,,1.0
2015-01-06,IC,next,IC1502,2015-02-20,5479.864,,,p,0.05520068844984445,,,1.0
2015-01-06,IC,next,IC1502,2015-02-20,5479.864,,,pq,0.05520068844984445,,,1.0
2015-01-06,IC,q1,IC1503,2015-03-20,5479.864,,,y,0.20556936343227375,,,0.2685258519469546
2015-01-06,IC,q1,IC1503,2015-03-20,5479.864,,,d,0.20556936343227375,,,0.2685258519469546
2015-01-06,IC,q1,IC1503,2015-03-20,5479.864,,,p,0.20556936343227375,,,0.2685258519469546
2015-01-06,IC,q1,IC1503,2015-03-20,5479.864,,,pq,0.20556936343227375,,,0.2685258519469546
2015-01-06,IC,q2,IC1506,2015-06-19,5479.864,,,y,31.432424504474923,,,0.0017561702388559216
2015-01-06,IC,q2,IC1506,2015-06-19,5479.864,,,d,31.44391286986482,,,0.0017555286035265546
2015-01-06,IC,q2,IC1506,2015-06-19,5479.864,,,p,31.5727050214407,,,0.0017483674082521034
2015-01-06,IC,q2,IC1506,2015-06-19,5479.864,,,pq,31.5727050214407,,,0.0017483674082521034
2015-01-07,IC,current,IC1501,2015-01-16,5488.242,,,y,0.0,,,
2015-01-07,IC,current,IC1501,2015-01-16,5488.242,,,d,0.0,,,
2015-01-07,IC,current,IC1501,2015-01-16,5488.242,,,p,0.0,,,
2015-01-07,IC,current,IC1501,2015-01-16,5488.242,,,pq,0.0,,,
2015-01-07,IC,next,IC1502,2015-02-20,5488.242,,,y,0.05528508312968191,,,1.0
2015-01-07,IC,next,IC1502,2015-02-20,5488.242,,,d,0.05528508312968191,,,1.0
2015-01-07,IC,next,IC1502,2015-02-20,5488.242,,,p,0.05528508312968191,,,1.0
2015-01-07,IC,next,IC1502,2015-02-20,5488.242,,,pq,0.05528508312968191,,,1.0
2015-01-07,IC,q1,IC1503,2015-03-20,5488.242,,,y,0.2058836522771859,,,0.2685258519469546
2015-01-07,IC,q1,IC1503,2015-03-20,5488.242,,,d,0.2058836522771859,,,0.2685258519469546
2015-01-07,IC,q1,IC1503,2015-03-20,5488.242,,,p,0.2058836522771859,,,0.2685258519469546
2015-01-07,IC,q1,IC1503,2015-03-20,5488.242,,,pq,0.2058836522771859,,,0.2685258519469546
2015-01-07,IC,q2,IC1506,2015-06-19,5488.242,,,y,31.48048059719885,,,0.0017561702388559216
2015-01-07,IC,q2,IC1506,2015-06-19,5488.242,,,d,31.491986526806627,,,0.0017555286035265546
2015-01-07,IC,q2,IC1506,2015-06-19,5488.242,,,p,31.620975584846956,,,0.0017483674082521034
2015-01-07,IC,q2,IC1506,2015-06-19,5488.242,,,pq,31.620975584846956,,,0.0017483674082521034
2015-01-08,IC,current,IC1501,2015-01-16,5444.037,,,y,0.0,,,
2015-01-08,IC,current,IC1501,2015-01-16,5444.037,,,d,0.0,,,
2015-01-08,IC,current,IC1501,2015-01-16,5444.037,,,p,0.0,,,
2015-01-08,IC,current,IC1501,2015-01-16,5444.037,,,pq,0.0,,,
2015-01-08,IC,next,IC1502,2015-02-20,5444.037,,,y,0.05483978988281933,,,1.0
2015-01-08,IC,next,IC1502,2015-02-20,5444.037,,,d,0.05483978988281933,,,1.0
