date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-01-05,IC,q2,IC1506,2015-06-19,5417.017,,,17.16504877595202,,,0.004439911666342967
2015-01-06,IC,q2,IC1506,2015-06-19,5479.864,,,17.364193770406025,,,0.004439911666342967
2015-01-07,IC,q2,IC1506,2015-06-19,5488.242,,,17.390741366369806,,,0.004439911666342967
2015-01-08,IC,q2,IC1506,2015-06-19,5444.037,,,17.250667783225992,,,0.004439911666342967
2015-01-09,IC,q2,IC1506,2015-06-19,5409.058,,,17.139828876659145,,,0.004439911666342967
2015-01-12,IC,q2,IC1506,2015-06-19,5332.221,,,16.89635338954182,,,0.004439911666342967
2015-01-13,IC,q2,IC1506,2015-06-19,5405.091,,,17.127258536101934,,,0.004439911666342967
2015-01-14,IC,q2,IC1506,2015-06-19,5379.738,,,17.04692179696733,,,0.004439911666342967
2015-01-15,IC,q2,IC1506,2015-06-19,5449.038,,,17.266514587644092,,,0.004439911666342967
2015-01-16,IC,q2,IC1506,2015-06-19,5520.123,,,17.49176355626253,,,0.004439911666342967
2015-01-19,IC,q2,IC1506,2015-06-19,5281.895,,,16.736884027585127,,,0.004439911666342967
2015-01-20,IC,q2,IC1506,2015-06-19,5472.514,,,17.34090362594031,,,0.004439911666342967
2015-01-21,IC,q2,IC1506,2015-06-19,5611.694,,,17.78192706903399,,,0.004439911666342967
2015-01-22,IC,q2,IC1506,2015-06-19,5690.156,,,18.030551737750876,,,0.004439911666342967
2015-01-23,IC,q2,IC1506,2015-06-19,5633.289,,,17.850355731583264,,,0.004439911666342967
2015-01-26,IC,q2,IC1506,2015-06-19,5758.979,,,18.16761072682883,,,0.0
2015-01-27,IC,q2,IC1506,2015-06-19,5773.816,,,18.21441639157495,,,0.0
2015-01-28,IC,q2,IC1506,2015-06-19,5739.919,,,18.107482940210165,,,0.0
2015-01-29,IC,q2,IC1506,2015-06-19,5701.205,,,17.985353499960695,,,0.0
2015-01-30,IC,q2,IC1506,2015-06-19,5632.728,,,17.769331965632986,,,0.0
2015-02-02,IC,q2,IC1506,2015-06-19,5609.389,,,17.695705396278687,,,0.0
2015-02-03,IC,q2,IC1506,2015-06-19,5707.476,,,18.005136361969384,,,0.0
2015-02-04,IC,q2,IC1506,2015-06-19,5683.519,,,17.92956021380447,,,0.0
2015-02-05,IC,q2,IC1506,2015-06-19,5654.217,,,17.837122417188517,,,0.0
2015-02-06,IC,q2,IC1506,2015-06-19,5534.785,,,17.46035527073311,,,0.0
2015-02-09,IC,q2,IC1506,2015-06-19,5504.974,,,17.36631175305793,,,0.005718612577133922
2015-02-10,IC,q2,IC1506,2015-06-19,5580.704,,,17.614983422783844,,,0.010661147305934328
2015-02-11,IC,q2,IC1506,2015-06-19,5641.786,,,17.80778318737098,,,0.010661147305934328
2015-02-12,IC,q2,IC1506,2015-06-19,5681.341,,,17.925683054994504,,,0.012849720272227897
2015-02-13,IC,q2,IC1506,2015-06-19,5769.272,,,18.17012970162014,,,0.015419724859007425
2015-02-16,IC,q2,IC1506,2015-06-19,5869.713,,,18.48646528041768,,,0.020688627002042114
2015-02-17,IC,q2,IC1506,2015-06-19,5911.098,,,18.62360496737421,,,0.022769186698303714
2015-02-25,IC,q1,IC1506,2015-06-19,5906.538,,,18.609238154533138,,,0.022769186698303714
2015-02-25,IC,q2,IC1509,2015-09-18,5906.538,,,28.816974414861644,,,0.01604800335679656
2015-02-26,IC,q1,IC1506,2015-06-19,5969.557,,,18.80778687787336,,,0.022769186698303714
2015-02-26,IC,q2,IC1509,2015-09-18,5969.557,,,29.12443318523613,,,0.01604800335679656
2015-02-27,IC,q1,IC1506,2015-06-19,6018.463,,,18.88500459201116,,,0.02414418282734931
2015-02-27,IC,q2,IC1509,2015-09-18,6018.463,,,29.286170722923295,,,0.016917020190597935
2015-03-02,IC,q1,IC1506,2015-06-19,6139.792,,,19.228005111984636,,,0.028646641956671288
2015-03-02,IC,q2,IC1509,2015-09-18,6139.792,,,29.83885319749174,,,0.0198092480662026
