date,product,role,contract,expire,spot,future,basis_raw,calibre,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-01-05,IH,current,IH1501,2015-01-16,2649.639,,,y,1.4748358256409047,,,1.0
2015-01-05,IH,current,IH1501,2015-01-16,2649.639,,,d,1.4748358256409047,,,1.0
2015-01-05,IH,current,IH1501,2015-01-16,2649.639,,,p,1.4748358256409047,,,1.0
2015-01-05,IH,next,IH1502,2015-02-20,2649.639,,,y,1.4748358256409047,,,1.0
2015-01-05,IH,next,IH1502,2015-02-20,2649.639,,,d,1.4748358256409047,,,1.0
2015-01-05,IH,next,IH1502,2015-02-20,2649.639,,,p,1.4748358256409047,,,1.0
2015-01-05,IH,q1,IH1503,2015-03-20,2649.639,,,y,1.4748358256409047,,,1.0
2015-01-05,IH,q1,IH1503,2015-03-20,2649.639,,,d,1.4748358256409047,,,1.0
2015-01-05,IH,q1,IH1503,2015-03-20,2649.639,,,p,1.4748358256409047,,,1.0
2015-01-05,IH,q2,IH1506,2015-06-19,2649.639,,,y,33.78563003925039,,,0.043652754852507324
2015-01-05,IH,q2,IH1506,2015-06-19,2649.639,,,d,33.758779501863216,,,0.04368747470741664
2015-01-05,IH,q2,IH1506,2015-06-19,2649.639,,,p,33.65843209164291,,,0.04381772215726868
2015-01-06,IH,current,IH1501,2015-01-16,2629.402,,,y,1.4635715543180963,,,1.0
2015-01-06,IH,current,IH1501,2015-01-16,2629.402,,,d,1.4635715543180963,,,1.0
2015-01-06,IH,current,IH1501,2015-01-16,2629.402,,,p,1.4635715543180963,,,1.0
2015-01-06,IH,next,IH1502,2015-02-20,2629.402,,,y,1.4635715543180963,,,1.0
2015-01-06,IH,next,IH1502,2015-02-20,2629.402,,,d,1.4635715543180963,,,1.0
2015-01-06,IH,next,IH1502,2015-02-20,2629.402,,,p,1.4635715543180963,,,1.0
2015-01-06,IH,q1,IH1503,2015-03-20,2629.402,,,y,1.4635715543180963,,,1.0
2015-01-06,IH,q1,IH1503,2015-03-20,2629.402,,,d,1.4635715543180963,,,1.0
2015-01-06,IH,q1,IH1503,2015-03-20,2629.402,,,p,1.4635715543180963,,,1.0
2015-01-06,IH,q2,IH1506,2015-06-19,2629.402,,,y,33.52758741717836,,,0.043652754852507324
2015-01-06,IH,q2,IH1506,2015-06-19,2629.402,,,d,33.50094195464293,,,0.04368747470741664
2015-01-06,IH,q2,IH1506,2015-06-19,2629.402,,,p,33.40136096224054,,,0.04381772215726868
2015-01-07,IH,current,IH1501,2015-01-16,2635.231,,,y,1.4668160785825946,,,1.0
2015-01-07,IH,current,IH1501,2015-01-16,2635.231,,,d,1.4668160785825946,,,1.0
2015-01-07,IH,current,IH1501,2015-01-16,2635.231,,,p,1.4668160785825946,,,1.0
2015-01-07,IH,next,IH1502,2015-02-20,2635.231,,,y,1.4668160785825946,,,1.0
2015-01-07,IH,next,IH1502,2015-02-20,2635.231,,,d,1.4668160785825946,,,1.0
2015-01-07,IH,next,IH1502,2015-02-20,2635.231,,,p,1.4668160785825946,,,1.0
2015-01-07,IH,q1,IH1503,2015-03-20,2635.231,,,y,1.4668160785825946,,,1.0
2015-01-07,IH,q1,IH1503,2015-03-20,2635.231,,,d,1.4668160785825946,,,1.0
2015-01-07,IH,q1,IH1503,2015-03-20,2635.231,,,p,1.4668160785825946,,,1.0
2015-01-07,IH,q2,IH1506,2015-06-19,2635.231,,,y,33.60191317910245,,,0.043652754852507324
2015-01-07,IH,q2,IH1506,2015-06-19,2635.231,,,d,33.57520864747028,,,0.04368747470741664
2015-01-07,IH,q2,IH1506,2015-06-19,2635.231,,,p,33.47540689855948,,,0.04381772215726868
2015-01-08,IH,current,IH1501,2015-01-16,2558.107,,,y,1.423887499173577,,,1.0
