date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-01-05,IH,q2,IH1506,2015-06-19,2649.639,,,19.717141825418903,,,0.0
2015-01-06,IH,q2,IH1506,2015-06-19,2629.402,,,19.56654931107223,,,0.0
2015-01-07,IH,q2,IH1506,2015-06-19,2635.231,,,19.609925491638855,,,0.0
2015-01-08,IH,q2,IH1506,2015-06-19,2558.107,,,19.03601151839812,,,0.0
2015-01-09,IH,q2,IH1506,2015-06-19,2569.019,,,19.11721256186063,,,0.0
2015-01-12,IH,q2,IH1506,2015-06-19,2543.852,,,18.92993372564169,,,0.0
2015-01-13,IH,q2,IH1506,2015-06-19,2527.828,,,18.810692017389922,,,0.0
2015-01-14,IH,q2,IH1506,2015-06-19,2534.23,,,18.858332145711678,,,0.0
2015-01-15,IH,q2,IH1506,2015-06-19,2632.89,,,19.592505069832974,,,0.0
2015-01-16,IH,q2,IH1506,2015-06-19,2653.034,,,19.742405529831956,,,0.0
2015-01-19,IH,q2,IH1506,2015-06-19,2410.201,,,17.935377213562475,,,0.0
2015-01-20,IH,q2,IH1506,2015-06-19,2403.724,,,17.887178976895807,,,0.0
2015-01-21,IH,q2,IH1506,2015-06-19,2542.318,,,18.918518549627077,,,0.0
2015-01-22,IH,q2,IH1506,2015-06-19,2544.308,,,18.933327024378762,,,0.0
2015-01-23,IH,q2,IH1506,2015-06-19,2564.514,,,19.08368885394287,,,0.0
2015-01-26,IH,q2,IH1506,2015-06-19,2562.363,,,19.06768230661077,,,0.0
2015-01-27,IH,q2,IH1506,2015-06-19,2522.103,,,18.768089747061577,,,0.0
2015-01-28,IH,q2,IH1506,2015-06-19,2486.285,,,18.501552084420418,,,0.0
2015-01-29,IH,q2,IH1506,2015-06-19,2442.038,,,18.17229048525566,,,0.0
2015-01-30,IH,q2,IH1506,2015-06-19,2405.38,,,17.89950200915148,,,0.0
2015-02-02,IH,q2,IH1506,2015-06-19,2332.533,,,17.357415094459974,,,0.0
2015-02-03,IH,q2,IH1506,2015-06-19,2405.76,,,17.90232975809904,,,0.0
2015-02-04,IH,q2,IH1506,2015-06-19,2372.455,,,17.654492445734757,,,0.0
2015-02-05,IH,q2,IH1506,2015-06-19,2348.921,,,17.479365488545717,,,0.0
2015-02-06,IH,q2,IH1506,2015-06-19,2325.241,,,17.30315208044525,,,0.0
