date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio,calibre
2015-01-05,IM,current,IM1501,2015-01-16,6049.787,,,0.0,,,,y
2015-01-05,IM,current,IM1501,2015-01-16,6049.787,,,0.0,,,,d
2015-01-05,IM,current,IM1501,2015-01-16,6049.787,,,0.0,,,,p
2015-01-05,IM,next,IM1502,2015-02-20,6049.787,,,0.0,,,,y
2015-01-05,IM,next,IM1502,2015-02-20,6049.787,,,0.0,,,,d
2015-01-05,IM,next,IM1502,2015-02-20,6049.787,,,0.0,,,,p
2015-01-05,IM,q1,IM1503,2015-03-20,6049.787,,,0.05858622069705405,,,0.0,y
2015-01-05,IM,q1,IM1503,2015-03-20,6049.787,,,0.05858622069705405,,,0.0,d
2015-01-05,IM,q1,IM1503,2015-03-20,6049.787,,,0.05858622069705405,,,0.0,p
2015-01-05,IM,q2,IM1506,2015-06-19,6049.787,,,5.859372472496845,,,0.0,y
2015-01-05,IM,q2,IM1506,2015-06-19,6049.787,,,5.855267640540474,,,0.0,d
2015-01-05,IM,q2,IM1506,2015-06-19,6049.787,,,5.933839351850157,,,0.0,p
2015-01-06,IM,current,IM1501,2015-01-16,6172.392,,,0.0,,,,y
2015-01-06,IM,current,IM1501,2015-01-16,6172.392,,,0.0,,,,d
2015-01-06,IM,current,IM1501,2015-01-16,6172.392,,,0.0,,,,p
2015-01-06,IM,next,IM1502,2015-02-20,6172.392,,,0.0,,,,y
2015-01-06,IM,next,IM1502,2015-02-20,6172.392,,,0.0,,,,d
2015-01-06,IM,next,IM1502,2015-02-20,6172.392,,,0.0,,,,p
2015-01-06,IM,q1,IM1503,2015-03-20,6172.392,,,0.05977352920701685,,,0.0,y
2015-01-06,IM,q1,IM1503,2015-03-20,6172.392,,,0.05977352920701685,,,0.0,d
2015-01-06,IM,q1,IM1503,2015-03-20,6172.392,,,0.05977352920701685,,,0.0,p
2015-01-06,IM,q2,IM1506,2015-06-19,6172.392,,,5.978118531158162,,,0.0,y
2015-01-06,IM,q2,IM1506,2015-06-19,6172.392,,,5.973930510666061,,,0.0,d
2015-01-06,IM,q2,IM1506,2015-06-19,6172.392,,,6.054094556493491,,,0.0,p
2015-01-07,IM,current,IM1501,2015-01-16,6166.769,,,0.0,,,,y
2015-01-07,IM,current,IM1501,2015-01-16,6166.769,,,0.0,,,,d
2015-01-07,IM,current,IM1501,2015-01-16,6166.769,,,0.0,,,,p
2015-01-07,IM,next,IM1502,2015-02-20,6166.769,,,0.0,,,,y
