product,view_date,contract,expire,dpv_truth_pts,announced_coverage,固定股息率_pts,固定股息率_err,固定分红_pts,固定分红_err,固定派息率_pts,固定派息率_err,派息率x季报EPS_pts,派息率x季报EPS_err
IF,2024-06-28,IF202407,2024-07-19,31.64,1.0,31.64,0.0,31.64,0.0,31.64,0.0,31.64,0.0
IF,2024-06-28,IF202408,2024-08-16,43.19,0.995,43.41,0.23,43.29,0.1,43.35,0.17,43.35,0.17
IF,2024-06-28,IF202409,2024-09-20,50.96,0.899,51.72,0.77,51.56,0.61,51.99,1.04,51.99,1.04
IF,2024-06-28,IF202412,2024-12-20,63.68,0.592,72.98,9.3,72.99,9.3,73.84,10.16,73.84,10.16
IF,2024-07-31,IF202408,2024-08-16,4.25,0.978,4.47,0.22,4.35,0.1,4.41,0.16,4.41,0.16
IF,2024-07-31,IF202409,2024-09-20,11.64,0.716,12.35,0.71,12.21,0.58,12.6,0.96,12.6,0.96
IF,2024-07-31,IF202409,2024-09-20,11.64,0.716,12.35,0.71,12.21,0.58,12.6,0.96,12.6,0.96
IF,2024-07-31,IF202412,2024-12-20,23.74,0.303,32.63,8.9,32.7,8.96,33.41,9.68,33.41,9.68
IF,2024-08-30,IF202409,2024-09-20,2.96,0.958,3.13,0.17,3.13,0.17,3.1,0.14,3.1,0.14
IF,2024-08-30,IF202410,2024-10-18,7.18,0.868,7.56,0.38,7.64,0.46,7.59,0.41,7.59,0.41
IF,2024-08-30,IF202412,2024-12-20,14.63,0.708,16.09,1.46,16.73,2.09,16.87,2.24,16.87,2.24
IF,2024-08-30,IF202503,2025-03-21,22.45,0.581,31.69,9.25,31.61,9.16,31.8,9.36,31.8,9.36
IF,2024-09-30,IF202410,2024-10-18,4.27,1.0,4.27,0.0,4.27,0.0,4.27,0.0,4.27,0.0
IF,2024-09-30,IF202411,2024-11-15,7.73,0.959,7.98,0.24,8.03,0.3,7.96,0.23,7.96,0.23
IF,2024-09-30,IF202412,2024-12-20,13.33,0.804,13.67,0.34,14.12,0.79,14.65,1.33,14.65,1.33
IF,2024-09-30,IF202503,2025-03-21,22.29,0.689,24.42,2.13,25.6,3.31,25.98,3.69,25.98,3.69
IF,2024-10-31,IF202411,2024-11-15,1.78,1.0,1.78,0.0,1.78,0.0,1.78,0.0,1.78,0.0
