product,view_date,contract,expire,dpv_truth_pts,v0_pts,v1_pts,v2_pts,v0_err,v1_err,v2_err,announced_coverage
IF,2024-06-28,IF202407,2024-07-19,23.95,23.95,23.95,23.95,0.0,0.0,0.0,1.0
IF,2024-06-28,IF202408,2024-08-16,33.64,33.97,33.86,33.76,0.34,0.22,0.12,0.991
IF,2024-06-28,IF202409,2024-09-20,38.92,39.49,39.45,39.32,0.57,0.53,0.4,0.889
IF,2024-06-28,IF202412,2024-12-20,49.11,58.25,57.71,58.01,9.14,8.6,8.9,0.583
IF,2024-07-31,IF202408,2024-08-16,3.72,4.06,3.94,3.84,0.34,0.22,0.12,0.952
IF,2024-07-31,IF202409,2024-09-20,8.98,9.54,9.5,9.37,0.57,0.52,0.39,0.667
IF,2024-07-31,IF202409,2024-09-20,8.98,9.54,9.5,9.37,0.57,0.52,0.39,0.667
IF,2024-07-31,IF202412,2024-12-20,19.1,28.2,27.66,27.96,9.09,8.55,8.85,0.259
IF,2024-08-30,IF202409,2024-09-20,2.03,2.12,2.14,2.13,0.09,0.11,0.1,0.923
IF,2024-08-30,IF202410,2024-10-18,5.88,6.21,6.21,6.28,0.32,0.33,0.39,0.816
IF,2024-08-30,IF202412,2024-12-20,11.8,13.73,13.74,13.54,1.93,1.94,1.74,0.714
IF,2024-08-30,IF202503,2025-03-21,17.42,24.26,24.29,24.22,6.84,6.87,6.8,0.581
IF,2024-09-30,IF202410,2024-10-18,3.81,3.81,3.81,3.81,0.0,0.0,0.0,1.0
IF,2024-09-30,IF202411,2024-11-15,6.86,7.03,6.97,6.94,0.17,0.11,0.08,0.95
IF,2024-09-30,IF202412,2024-12-20,10.97,11.96,11.99,11.37,0.99,1.02,0.4,0.794
IF,2024-09-30,IF202503,2025-03-21,17.76,19.82,19.87,19.59,2.05,2.1,1.83,0.729
IF,2024-10-31,IF202411,2024-11-15,1.59,1.59,1.59,1.59,0.0,0.0,0.0,1.0
IF,2024-10-31,IF202412,2024-12-20,5.57,5.57,5.57,5.57,0.0,0.0,0.0,1.0
IF,2024-10-31,IF202412,2024-12-20,5.57,5.57,5.57,5.57,0.0,0.0,0.0,1.0
IF,2024-10-31,IF202503,2025-03-21,12.15,12.15,12.15,12.15,0.0,0.0,0.0,1.0
IF,2024-11-29,IF202412,2024-12-20,2.89,2.89,2.89,2.89,0.0,0.0,0.0,1.0
IF,2024-11-29,IF202501,2025-01-17,6.42,6.42,6.42,6.42,0.0,0.0,0.0,1.0
IF,2024-11-29,IF202503,2025-03-21,9.51,9.51,9.51,9.51,0.0,0.0,0.0,1.0
IF,2024-11-29,IF202506,2025-06-20,37.02,35.15,34.17,36.57,-1.87,-2.85,-0.45,0.285
IF,2024-12-31,IF202501,2025-01-17,2.98,2.98,2.98,2.98,0.0,0.0,0.0,1.0
IF,2024-12-31,IF202502,2025-02-21,6.09,6.09,6.09,6.09,0.0,0.0,0.0,1.0
