product,view_date,contract,expire,dpv_forecast_pts,dpv_truth_pts,err_pts,err_pct,announced_coverage
IF,2024-06-28,IF202407,2024-07-19,23.95,23.95,0.0,0.0,1.0
IF,2024-06-28,IF202408,2024-08-16,33.97,33.64,0.34,1.0,0.991
IF,2024-06-28,IF202409,2024-09-20,39.49,38.92,0.57,1.5,0.889
IF,2024-06-28,IF202412,2024-12-20,58.25,49.11,9.14,18.6,0.583
IF,2024-07-31,IF202408,2024-08-16,4.06,3.72,0.34,,0.952
IF,2024-07-31,IF202409,2024-09-20,9.54,8.98,0.57,6.3,0.667
IF,2024-07-31,IF202409,2024-09-20,9.54,8.98,0.57,6.3,0.667
IF,2024-07-31,IF202412,2024-12-20,28.2,19.1,9.09,47.6,0.259
IF,2024-08-30,IF202409,2024-09-20,2.12,2.03,0.09,,0.923
IF,2024-08-30,IF202410,2024-10-18,6.21,5.88,0.32,5.5,0.816
IF,2024-08-30,IF202412,2024-12-20,13.73,11.8,1.93,16.3,0.714
IF,2024-08-30,IF202503,2025-03-21,24.26,17.42,6.84,39.2,0.581
IF,2024-09-30,IF202410,2024-10-18,3.81,3.81,0.0,,1.0
IF,2024-09-30,IF202411,2024-11-15,7.03,6.86,0.17,2.4,0.95
IF,2024-09-30,IF202412,2024-12-20,11.96,10.97,0.99,9.0,0.794
IF,2024-09-30,IF202503,2025-03-21,19.82,17.76,2.05,11.6,0.729
IF,2024-10-31,IF202411,2024-11-15,1.59,1.59,0.0,,1.0
IF,2024-10-31,IF202412,2024-12-20,5.57,5.57,0.0,0.0,1.0
IF,2024-10-31,IF202412,2024-12-20,5.57,5.57,0.0,0.0,1.0
IF,2024-10-31,IF202503,2025-03-21,12.15,12.15,0.0,0.0,1.0
IF,2024-11-29,IF202412,2024-12-20,2.89,2.89,0.0,,1.0
IF,2024-11-29,IF202501,2025-01-17,6.42,6.42,0.0,0.0,1.0
IF,2024-11-29,IF202503,2025-03-21,9.51,9.51,0.0,0.0,1.0
IF,2024-11-29,IF202506,2025-06-20,35.15,37.02,-1.87,-5.1,0.285
IF,2024-12-31,IF202501,2025-01-17,2.98,2.98,0.0,,1.0
IF,2024-12-31,IF202502,2025-02-21,6.09,6.09,0.0,0.0,1.0
IF,2024-12-31,IF202503,2025-03-21,6.09,6.09,0.0,0.0,1.0
IF,2024-12-31,IF202506,2025-06-20,31.84,33.72,-1.88,-5.6,0.186
IF,2025-01-27,IF202502,2025-02-21,0.0,0.0,0.0,,
IF,2025-01-27,IF202503,2025-03-21,0.0,0.0,0.0,,
IF,2025-01-27,IF202503,2025-03-21,0.0,0.0,0.0,,
IF,2025-01-27,IF202506,2025-06-20,24.98,26.81,-1.82,-6.8,0.008
IF,2025-02-28,IF202503,2025-03-21,0.0,0.0,0.0,,
IF,2025-02-28,IF202504,2025-04-18,1.4,1.36,0.04,,0.167
IF,2025-02-28,IF202506,2025-06-20,25.4,27.32,-1.93,-7.0,0.017
IF,2025-02-28,IF202509,2025-09-19,66.05,68.11,-2.06,-3.0,0.01
IF,2025-03-31,IF202504,2025-04-18,1.25,1.25,0.0,,1.0
IF,2025-03-31,IF202505,2025-05-16,7.78,7.81,-0.03,-0.4,0.885
IF,2025-03-31,IF202506,2025-06-20,26.85,27.2,-0.35,-1.3,0.449
IF,2025-03-31,IF202509,2025-09-19,67.97,67.96,0.01,0.0,0.421
IF,2025-04-30,IF202505,2025-05-16,2.43,2.43,0.0,,1.0
IF,2025-04-30,IF202506,2025-06-20,21.24,21.24,0.0,0.0,1.0
IF,2025-04-30,IF202506,2025-06-20,21.24,21.24,0.0,0.0,1.0
IF,2025-04-30,IF202509,2025-09-19,63.58,60.78,2.8,4.6,0.928
IF,2025-05-30,IF202506,2025-06-20,14.24,14.24,0.0,0.0,1.0
IF,2025-05-30,IF202507,2025-07-18,41.89,41.89,0.0,0.0,1.0
IF,2025-05-30,IF202509,2025-09-19,57.36,54.51,2.85,5.2,0.915
IF,2025-05-30,IF202512,2025-12-19,88.64,71.43,17.21,24.1,0.627
IF,2025-06-30,IF202507,2025-07-18,16.08,16.08,0.0,0.0,1.0
IF,2025-06-30,IF202508,2025-08-15,23.07,23.07,0.0,0.0,1.0
IF,2025-06-30,IF202509,2025-09-19,31.93,29.0,2.92,10.1,0.852
IF,2025-06-30,IF202512,2025-12-19,63.99,46.35,17.64,38.1,0.473
IF,2025-07-31,IF202508,2025-08-15,2.23,2.23,0.0,,1.0
