product,year,days,implied_yield_pct,mean_pct,p01_pct,p99_pct,yoy_change_pct,dpv_range_pts,coverage,div_file_cov,div_files,status,note
IF,2015,456,1.062,1.681,0.107,4.236,,0.0~82.6,0.661,0.844,563/667,OK,分红文件覆盖84.4%
IF,2016,458,1.307,1.932,0.024,5.549,23.1,0.0~64.3,0.599,0.844,563/667,OK,分红文件覆盖84.4%
IF,2017,454,1.215,1.903,0.033,4.658,-7.0,0.0~66.2,0.624,0.844,563/667,OK,分红文件覆盖84.4%
IF,2018,455,1.491,2.004,0.12,5.443,22.7,0.1~73.9,0.627,0.844,563/667,OK,分红文件覆盖84.4%
IF,2019,476,1.66,2.112,0.033,6.008,11.3,0.0~82.3,0.63,0.844,563/667,OK,分红文件覆盖84.4%
IF,2020,456,1.41,2.065,0.039,5.641,-15.1,0.0~80.8,0.606,0.844,563/667,OK,分红文件覆盖84.4%
IF,2021,457,1.209,1.768,0.021,4.811,-14.2,0.0~92.6,0.665,0.844,563/667,OK,分红文件覆盖84.4%
IF,2022,452,1.099,1.992,0.305,5.868,-9.2,0.0~85.2,0.658,0.844,563/667,OK,分红文件覆盖84.4%
IF,2023,450,1.3,2.131,0.146,6.245,18.3,0.0~87.2,0.631,0.844,563/667,OK,分红文件覆盖84.4%
IF,2024,472,2.226,3.003,1.01,6.875,71.3,0.0~106.8,0.55,0.844,563/667,OK,同比变动+71%; 分红文件覆盖84.4%
IF,2025,465,2.47,2.919,1.232,5.401,10.9,0.3~106.2,0.573,0.844,563/667,OK,分红文件覆盖84.4%
IF,2026,313,2.764,2.828,0.793,4.775,11.9,4.0~98.2,0.553,0.844,563/667,OK,分红文件覆盖84.4%
IH,2015,334,0.882,1.746,0.223,4.688,,0.0~62.2,0.797,0.922,119/129,OK,分红文件覆盖92.2%
IH,2016,458,1.488,2.465,0.0,7.263,68.6,0.0~55.2,0.563,0.922,119/129,OK,同比变动+69%; 分红文件覆盖92.2%
IH,2017,454,1.518,2.463,0.003,6.183,2.1,0.0~57.7,0.57,0.922,119/129,OK,分红文件覆盖92.2%
IH,2018,455,1.987,2.757,0.042,8.13,30.9,0.0~75.7,0.61,0.922,119/129,OK,分红文件覆盖92.2%
IH,2019,476,1.907,2.644,0.0,7.939,-4.1,0.0~79.9,0.523,0.922,119/129,OK,分红文件覆盖92.2%
IH,2020,456,1.328,2.485,0.003,7.065,-30.3,0.0~75.7,0.637,0.922,119/129,OK,分红文件覆盖92.2%
IH,2021,457,1.292,1.932,0.032,5.01,-2.7,0.0~75.4,0.664,0.922,119/129,OK,分红文件覆盖92.2%
IH,2022,452,1.464,2.527,0.422,7.323,13.3,0.0~76.5,0.66,0.922,119/129,OK,分红文件覆盖92.2%
IH,2023,450,1.54,2.915,0.221,8.807,5.2,0.0~85.5,0.634,0.922,119/129,OK,分红文件覆盖92.2%
IH,2024,472,2.552,3.645,1.333,8.485,65.7,0.0~90.7,0.542,0.922,119/129,OK,同比变动+66%; 分红文件覆盖92.2%
IH,2025,465,2.917,3.471,1.875,6.437,14.3,0.0~90.3,0.583,0.922,119/129,OK,分红文件覆盖92.2%
IH,2026,313,3.091,3.418,0.992,6.298,6.0,5.3~74.7,0.546,0.922,119/129,OK,分红文件覆盖92.2%
IC,2015,334,0.177,0.288,0.01,0.775,,0.0~26.3,0.689,0.697,945/1355,WARN,"中位数0.18%越界[0.4,4.0]; 分红文件覆盖69.7%"
IC,2016,458,0.411,0.459,0.007,1.071,132.8,0.0~28.8,0.546,0.697,945/1355,OK,同比变动+133%; 分红文件覆盖69.7%
IC,2017,454,0.521,0.502,0.019,1.243,26.7,0.0~31.8,0.624,0.697,945/1355,OK,分红文件覆盖69.7%
IC,2018,455,0.719,0.769,0.038,1.937,38.0,0.0~43.9,0.707,0.697,945/1355,OK,分红文件覆盖69.7%
IC,2019,476,0.786,0.924,0.062,2.432,9.4,0.0~51.7,0.646,0.697,945/1355,OK,分红文件覆盖69.7%
IC,2020,456,0.967,0.942,0.032,2.42,23.0,0.0~48.0,0.552,0.697,945/1355,OK,分红文件覆盖69.7%
IC,2021,457,1.073,1.099,0.058,2.687,11.0,0.0~67.1,0.556,0.697,945/1355,OK,分红文件覆盖69.7%
IC,2022,452,1.197,1.421,0.037,4.306,11.5,0.0~87.6,0.634,0.697,945/1355,OK,分红文件覆盖69.7%
IC,2023,450,1.343,1.391,0.03,3.735,12.2,0.0~86.4,0.578,0.697,945/1355,OK,分红文件覆盖69.7%
IC,2024,472,1.591,1.962,0.315,4.552,18.4,0.0~106.5,0.485,0.697,945/1355,OK,分红文件覆盖69.7%
IC,2025,465,1.309,1.661,0.211,3.577,-17.7,0.2~88.4,0.533,0.697,945/1355,OK,分红文件覆盖69.7%
IC,2026,313,1.673,1.711,0.37,2.712,27.8,1.9~98.6,0.515,0.697,945/1355,OK,分红文件覆盖69.7%
IM,2022,201,0.078,0.19,0.014,0.899,,0.0~28.1,0.661,0.459,1283/2797,WARN,"中位数0.08%越界[0.2,3.5]; 分红文件覆盖45.9%"
IM,2023,450,0.717,0.775,0.074,1.928,819.3,0.0~46.3,0.548,0.459,1283/2797,OK,同比变动+819%; 分红文件覆盖45.9%
IM,2024,472,1.097,1.229,0.138,2.854,53.0,0.2~62.5,0.523,0.459,1283/2797,OK,分红文件覆盖45.9%
IM,2025,465,1.048,1.198,0.165,2.46,-4.5,0.1~66.7,0.484,0.459,1283/2797,OK,分红文件覆盖45.9%
IM,2026,313,1.39,1.394,0.228,2.198,32.6,0.7~81.3,0.471,0.459,1283/2797,OK,分红文件覆盖45.9%
